# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 10
learning_rate: 0.01
participation_rate: 0.3
num_classes: 10
lambda: 0.01
participation_rate: 0.3
num_classes: 10
# Results:

round,obj,test
1,0.541636205995552,0.9227
2,0.52982266436358,0.9293
3,0.5210959336288159,0.9317
4,0.5161178471665786,0.935
5,0.5154058222638727,0.9339
6,0.5125873359461308,0.9387
7,0.5109463682581249,0.9353
8,0.5101139281549009,0.9389
9,0.5073499171840373,0.9401
10,0.5095028465311228,0.94
11,0.508301724377449,0.9403
12,0.5073713685663939,0.9367
13,0.5076467019071473,0.9386
14,0.5058853770501461,0.9393
15,0.5102967149608575,0.939
16,0.5068019741860126,0.9391
17,0.5077833795624184,0.9407
18,0.5072069918351606,0.9409
19,0.5072079635828501,0.9399
20,0.5083324106692229,0.9413
21,0.5091195603149783,0.9403
22,0.5086458712750391,0.9393
23,0.5112895937940227,0.9385
24,0.5094409220637405,0.9385
25,0.5092904818795458,0.9405
26,0.5091997291901307,0.9407
27,0.5080989622266586,0.9412
28,0.5080513835489198,0.9393
29,0.5080092759167119,0.9404
30,0.5080646459703411,0.9422
31,0.5090453400200743,0.9405
32,0.5071962521038157,0.9434
33,0.5078392042055632,0.9406
34,0.509857998697266,0.9386
35,0.5082640347000091,0.9413
36,0.5097244726126965,0.9419
37,0.5063596380761745,0.9411
38,0.5070885929358093,0.9406
39,0.5087975426544644,0.9407
40,0.5080879208450816,0.94
41,0.5060732729654829,0.9402
42,0.5077914149415537,0.9404
43,0.5067101996907912,0.9414
44,0.5056774685248895,0.9411
45,0.5075472697186452,0.9423
46,0.5077494621145539,0.9429
47,0.5067115287226958,0.942
48,0.5094697704548689,0.9412
49,0.5066820221586762,0.9413
50,0.5082963564082098,0.9407
51,0.5081132303786596,0.9394
52,0.5088300122952858,0.9412
53,0.5067616173157192,0.9404
54,0.5092308356025559,0.9388
55,0.5061250466512162,0.942
56,0.5065605908961099,0.9404
57,0.5076016912850579,0.9411
58,0.5062372514972638,0.9415
59,0.506352056035746,0.941
60,0.508042720443939,0.9394
61,0.5062486685650978,0.9393
62,0.5064603570775474,0.9417
63,0.5073808508887532,0.9418
64,0.5066709279426962,0.9415
65,0.5076908751687276,0.9411
66,0.5064633395722018,0.9404
67,0.5067931318576807,0.941
68,0.5089509010720931,0.9407
69,0.5079884987665659,0.9405
70,0.5092222085514244,0.9404
71,0.5085857937783009,0.9401
72,0.5072065902078265,0.9424
73,0.5086354362105637,0.9409
74,0.5073456176596485,0.939
75,0.5080351644461395,0.941
76,0.5077032065795382,0.9406
77,0.5064719198455676,0.9402
78,0.5059833931588636,0.9409
79,0.5071967886370252,0.9409
80,0.5063367558678465,0.9397
81,0.5071262459873439,0.942
82,0.5072552326059963,0.9424
83,0.5076224107180342,0.9403
84,0.5072206296005302,0.9396
85,0.5058817493748147,0.9414
86,0.5069679434998109,0.9403
87,0.5073658906341586,0.9415
88,0.5069743053937594,0.9399
89,0.5080244718944101,0.9408
90,0.5086968888251978,0.9395
91,0.5089803675779973,0.9384
92,0.5089344435783257,0.9379
93,0.5095422292076328,0.9406
94,0.5119414602774398,0.9379
95,0.5083507395665158,0.9404
96,0.5090638526018112,0.9405
97,0.5084840726011964,0.9406
98,0.5058352936304302,0.9425
99,0.5068831048064336,0.9398
100,0.5086774612222688,0.9387
