# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 10
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 20
learning_rate: 0.01
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,0.9928410216021243,0.8626
2,0.8339008845023173,0.8909
3,0.7669361310373778,0.8985
4,0.7211504583160248,0.9032
5,0.6865170694855445,0.9095
6,0.6600150472239927,0.9126
7,0.6376318073689005,0.9135
8,0.6197377214615005,0.915
9,0.6039545725399713,0.9173
10,0.5915199966725473,0.9195
11,0.5812671978947955,0.9199
12,0.5728018303637068,0.9208
13,0.5653393673069356,0.9217
14,0.5594615923755872,0.9236
15,0.5539833883543778,0.9239
16,0.5500377572214552,0.924
17,0.5468903945534898,0.9239
18,0.5435841140951709,0.9253
19,0.540344577068903,0.9272
20,0.5389786996871231,0.927
21,0.5360967810962499,0.9277
22,0.5339254866976978,0.9279
23,0.5322256142702568,0.9281
24,0.5305550422217862,0.9293
25,0.529627024611913,0.9289
26,0.5292043417895705,0.9279
27,0.526878341089027,0.9302
28,0.5271762582978315,0.9291
29,0.5258493483213786,0.9284
30,0.5246678512064592,0.9307
31,0.5241158104650361,0.9316
32,0.5232939500413936,0.9314
33,0.5230923954016524,0.9317
34,0.5226595763267678,0.9313
35,0.5222374479618275,0.9325
36,0.5224823376997985,0.9323
37,0.5215456128126195,0.9313
38,0.5206494399528387,0.9334
39,0.5204614212059867,0.9331
40,0.5194435593842239,0.9336
41,0.5194785227601127,0.9349
42,0.5193177240623568,0.9344
43,0.519320309949772,0.9343
44,0.5181685419964794,0.9332
45,0.5178936807468302,0.9346
46,0.5177564982312243,0.9348
47,0.517385326530214,0.9343
48,0.517096070752724,0.935
49,0.5168263837992435,0.9347
50,0.5167357775324671,0.9354
51,0.516804263298208,0.9366
52,0.51641109293444,0.9348
53,0.5169166570511241,0.934
54,0.5161774099842953,0.9344
55,0.5165185663236126,0.9356
56,0.5163603350517679,0.9359
57,0.516572661446086,0.9359
58,0.5152498592618249,0.9341
59,0.5154639469851543,0.9349
60,0.5151976654818422,0.9334
61,0.5150325211756854,0.935
62,0.514892401000521,0.9339
63,0.5148174718467764,0.935
64,0.5147275868278419,0.9353
65,0.5149778517534543,0.9343
66,0.514956985382921,0.9354
67,0.5142525013476572,0.935
68,0.5146817596878182,0.9352
69,0.5146749394238009,0.9339
70,0.5140043151764774,0.9346
71,0.5140007247367179,0.9352
72,0.5134970325184358,0.9349
73,0.5134091592718527,0.9346
74,0.5139120293412269,0.9345
75,0.5125720808950821,0.9356
76,0.5134070741915907,0.9344
77,0.5135047610293356,0.934
78,0.5132258785690852,0.9345
79,0.5136973187312638,0.9335
80,0.5121987980740991,0.936
81,0.5122453348109478,0.9364
82,0.5123431642328543,0.937
83,0.5124834563558857,0.9374
84,0.5125188330287055,0.9365
85,0.5122312477897275,0.9352
86,0.5121062005377279,0.9352
87,0.51243013078369,0.9349
88,0.5120191978888199,0.936
89,0.5119182096796657,0.936
90,0.5116972049343232,0.9365
91,0.5110462677247836,0.9367
92,0.5109031682761636,0.938
93,0.510907932410444,0.9383
94,0.5106404299999379,0.9368
95,0.511064341571284,0.9379
96,0.5112199668819909,0.9382
97,0.5110696204825353,0.9363
98,0.5105830689750167,0.9378
99,0.5108470245738495,0.9365
100,0.5101701624662414,0.9372
