# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0
num_classes: 10
# Results:

round,obj,test
1,1.0456179468786369,0.8324
2,0.8056531909336601,0.8528
3,0.7132326839449018,0.8645
4,0.665693341228439,0.871
5,0.6368803102108669,0.8768
6,0.6184209470421838,0.8804
7,0.6054665864324232,0.8833
8,0.5964815556226797,0.8842
9,0.5893734703488045,0.8853
10,0.5841315693024854,0.8872
11,0.5799149152188257,0.8906
12,0.5768732288226623,0.8919
13,0.5742910819986474,0.8919
14,0.5723621084711479,0.8934
15,0.5703753521848306,0.8933
16,0.5690374272269767,0.8956
17,0.5676906704502563,0.8947
18,0.5668101406338935,0.8955
19,0.5657282762780836,0.8966
20,0.5649891533269135,0.8963
21,0.5645308667409722,0.8982
22,0.5637040688332329,0.8974
23,0.5632948309489558,0.8981
24,0.562900590773198,0.8997
25,0.5626832208580618,0.8992
26,0.562225827247311,0.8992
27,0.5618283291634343,0.8993
28,0.5616075007843592,0.9
29,0.561375796720957,0.9008
30,0.5611011872114056,0.9007
31,0.5608445701251055,0.9011
32,0.5607835913730798,0.8993
33,0.5605170700476456,0.901
34,0.560432424919232,0.9003
35,0.5602186624774107,0.9013
36,0.5602134445943975,0.9013
37,0.5601994885226574,0.9014
38,0.5601700834159976,0.901
39,0.5603318860542729,0.9018
40,0.5599649784249994,0.9028
41,0.5600228125671792,0.9028
42,0.5601641022047756,0.9016
43,0.5598475734108341,0.9039
44,0.5598503692255162,0.9037
45,0.5597859744020078,0.9031
46,0.5598546077605148,0.9038
47,0.5597075760518077,0.9039
48,0.5594911949974393,0.904
49,0.5594231546298126,0.9026
50,0.5593338220513332,0.903
51,0.5593659412204004,0.9029
52,0.5596834498105455,0.903
53,0.5594323490004549,0.9035
54,0.5594431561235451,0.9037
55,0.5592846225038389,0.9031
56,0.5594142671503466,0.9029
57,0.5592788614217726,0.9038
58,0.5592181545064618,0.9035
59,0.5591924321572112,0.9032
60,0.5591695021405706,0.9035
61,0.5590781724150473,0.9039
62,0.5591695575463702,0.9041
63,0.5592407829970408,0.9037
64,0.5592807307431292,0.9031
65,0.5593203047317532,0.9042
66,0.5592560884971607,0.9044
67,0.5593754065347251,0.9043
68,0.5593113198858031,0.9033
69,0.5591931173658473,0.9038
70,0.5592013736221559,0.9036
71,0.5590217805074379,0.9035
72,0.5591740388506928,0.9043
73,0.5592122026359034,0.9032
74,0.5592107664373795,0.9034
75,0.5590587345181378,0.9036
76,0.5591240218817063,0.9038
77,0.5591091528127444,0.9051
78,0.5591621898283913,0.9045
79,0.5590962115995332,0.9043
80,0.5591661100409804,0.9046
81,0.5593021479388091,0.9045
82,0.5591319239481676,0.9045
83,0.559157787852271,0.9046
84,0.5590989506989701,0.9045
85,0.5591963401008859,0.9043
86,0.5591069170465645,0.9041
87,0.5591204118715504,0.905
88,0.5591235857405,0.9037
89,0.5591195226597955,0.9048
90,0.5592144567994539,0.9047
91,0.559162868557505,0.9048
92,0.5592201030209134,0.9049
93,0.5592163877438184,0.9041
94,0.5593797203259403,0.9047
95,0.5592086907336352,0.9047
96,0.5591407039409347,0.904
97,0.5589769634128698,0.9039
98,0.5590276621260661,0.9046
99,0.559025901864359,0.904
100,0.5592743011605198,0.9047
