# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 10
learning_rate: 0.001
participation_rate: 0.3
num_classes: 10
lambda: 0.001
num_classes: 10
# Results:

round,obj,test
1,0.30793678914048833,0.9281
2,0.2604100893428869,0.9411
3,0.24006052906469316,0.9477
4,0.22165296605336074,0.9529
5,0.2138773019686637,0.9555
6,0.21110173114666475,0.9558
7,0.20155533148456126,0.9609
8,0.1984524297017774,0.9593
9,0.19525236134697624,0.9602
10,0.19005826259096814,0.9635
11,0.18838856380025973,0.9639
12,0.18797462950491545,0.9641
13,0.18757608967730321,0.9635
14,0.1818246428821028,0.9656
15,0.17992205422032148,0.9662
16,0.17969478951492354,0.9672
17,0.17719563386322815,0.9669
18,0.17751229207341457,0.9673
19,0.1768759742768307,0.968
20,0.1752305599385073,0.9676
21,0.17371074946744836,0.9671
22,0.17222220861046209,0.9673
23,0.17385974199131823,0.9679
24,0.17449434919818313,0.9682
25,0.17494360688133634,0.9662
26,0.1707584782223758,0.968
27,0.17157451318196232,0.9688
28,0.17057328626174426,0.9674
29,0.16971774043621482,0.9683
30,0.16910348972308942,0.9682
31,0.16956153378226083,0.9688
32,0.16951335432752423,0.9686
33,0.1670666490527904,0.9697
34,0.16707905538959913,0.9701
35,0.1673625591880029,0.97
36,0.1678508905272618,0.9704
37,0.1676017939548328,0.9705
38,0.16664453427566323,0.9709
39,0.16640019953320134,0.9709
40,0.16544661030376437,0.9708
41,0.16551088650512363,0.9703
42,0.16652430008866195,0.9712
43,0.1650358103305961,0.9701
44,0.16464346817734982,0.9711
45,0.16527456705980284,0.9703
46,0.16578854184762823,0.9694
47,0.1644087944594397,0.9705
48,0.1638437380179161,0.9715
49,0.1659363243174912,0.9707
50,0.16357161735504935,0.9715
51,0.164817907195204,0.9722
52,0.16502155688241965,0.9707
53,0.16420062086999154,0.9722
54,0.16580450152995702,0.9708
55,0.16292139455696641,0.9715
56,0.16382356345442703,0.9715
57,0.16327171842341692,0.9718
58,0.16243769594191557,0.9713
59,0.16168497301432777,0.9729
60,0.16327923737429148,0.9726
61,0.16298296828428122,0.9718
62,0.1623293715961818,0.9713
63,0.1612172713125269,0.9735
64,0.1617543133759232,0.9734
65,0.16195844955849892,0.9721
66,0.1618342043365537,0.9718
67,0.1616422433134136,0.9737
68,0.1622004489390342,0.9741
69,0.16166772585778416,0.9728
70,0.16084057395109363,0.9738
71,0.16070935654594806,0.972
72,0.16086020222754915,0.9741
73,0.1621798316920959,0.9726
74,0.16226628448637265,0.973
75,0.1618146981598749,0.9728
76,0.16272368677584353,0.973
77,0.1636038315439152,0.9724
78,0.16124591195924207,0.9731
79,0.16136422905980252,0.9733
80,0.16209108210191733,0.9716
81,0.16033448568515213,0.9746
82,0.16201903954027766,0.9735
83,0.1607392380117935,0.9731
84,0.161525840457702,0.9739
85,0.16031551540254385,0.9732
86,0.16154425889534407,0.974
87,0.16083788293841764,0.9735
88,0.16168574821588014,0.9736
89,0.16131364967239514,0.973
90,0.16173264409404123,0.9724
91,0.16136899105346503,0.9735
92,0.16138939589535808,0.9733
93,0.16273466467686196,0.9727
94,0.16091541874878246,0.9735
95,0.16058399063939172,0.9733
96,0.16103500678842908,0.9731
97,0.16027044080929806,0.9726
98,0.16132798827063746,0.9725
99,0.16114025021374764,0.9726
100,0.16314359828250927,0.9732
