# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 10
learning_rate: 0.99
participation_rate: 0.3
num_classes: 10
learning_rate: 0.001
lambda: 0.01
participation_rate: 0.3
mu: 0
num_classes: 10
# Results:

round,obj,test
1,0.5661055809940652,0.9021
2,0.5659280904574865,0.9044
3,0.5625811035161901,0.9048
4,0.5638811474821185,0.8998
5,0.5625814141394403,0.9036
6,0.5613859009213084,0.9026
7,0.5614622374346646,0.9052
8,0.560801585134878,0.9043
9,0.5607074487121269,0.9053
10,0.5600886744845257,0.9048
11,0.5601819270017565,0.9054
12,0.5601658087034616,0.9035
13,0.5598296678084006,0.9058
14,0.5598603976200437,0.9045
15,0.5597384818944938,0.9041
16,0.5609173664680064,0.9039
17,0.5590398050088558,0.9047
18,0.5598224822356279,0.9052
19,0.5592609608459119,0.9042
20,0.5595491832790661,0.9051
21,0.5593567265549731,0.9053
22,0.5592699446941614,0.9055
23,0.5594177097794983,0.9053
24,0.5590610352607396,0.9044
25,0.5593156073051957,0.9058
26,0.5590558627232673,0.9049
27,0.5592260571337186,0.9043
28,0.5593040226296142,0.9055
29,0.5590989989767343,0.9054
30,0.558956762946067,0.9045
31,0.5589977475218751,0.9053
32,0.5589677227356573,0.9056
33,0.5592060996421615,0.9048
34,0.5591025623866743,0.9047
35,0.5590429029813255,0.9053
36,0.558883144577846,0.9051
37,0.5590672564572018,0.9058
38,0.5587285330287223,0.9049
39,0.5586734375435801,0.9055
40,0.5588252553599645,0.905
41,0.5588185620496119,0.9051
42,0.5587595568769176,0.9051
43,0.5587741420446636,0.906
44,0.5586999543678325,0.905
45,0.558718353736908,0.9048
46,0.5589328068434906,0.9054
47,0.558779345622874,0.9051
48,0.5588633591382449,0.9046
49,0.5586412321149532,0.9055
50,0.5586580258720253,0.9046
51,0.5586499647645915,0.9058
52,0.5587873698110042,0.9055
53,0.5586945062382755,0.9053
54,0.5586601251633876,0.9051
55,0.558832558019694,0.9056
56,0.5586948557680217,0.9048
57,0.5586953509659697,0.9053
58,0.5587008048705124,0.9054
59,0.5589360785146921,0.9055
60,0.5589422572534295,0.905
61,0.5586866302253737,0.9052
62,0.5589129761269629,0.9054
63,0.5587153270239914,0.9056
64,0.5587670311840409,0.9056
65,0.5586905809350804,0.905
66,0.5587937688454948,0.9057
67,0.5585932657051947,0.9048
68,0.5585948592573906,0.9053
69,0.5586721280472489,0.9057
70,0.5586662088430188,0.9053
71,0.5585745653577467,0.9062
72,0.5589879087167267,0.9062
73,0.5587465624893428,0.9061
74,0.5587800236418142,0.9059
75,0.5586268353321395,0.9056
76,0.5586542012748459,0.9057
77,0.558680210274217,0.9054
78,0.5586294421966531,0.9052
79,0.5585699967866506,0.9061
80,0.5587298600566187,0.906
81,0.5587089142926924,0.9057
82,0.5585742478015702,0.9055
83,0.5586866665945464,0.9059
84,0.5585901394526113,0.9056
85,0.5587319057424971,0.9052
86,0.5585938547328075,0.9055
87,0.5586891060335555,0.9053
88,0.5586843755880091,0.9056
89,0.5585810442940781,0.905
90,0.5585653665629231,0.9053
91,0.5587014194032925,0.9051
92,0.5587319759789982,0.9055
93,0.558607225531285,0.9048
94,0.5585915642191532,0.9054
95,0.5586039048779928,0.905
96,0.5586680601587583,0.9057
97,0.5586029093751003,0.9059
98,0.5587782928966007,0.9052
99,0.5587375238697846,0.9057
100,0.558685827821371,0.9051
