# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 10
learning_rate: 0.001
participation_rate: 0.3
num_classes: 10
learning_rate: 0.001
num_classes: 10
# Results:

round,obj,test
1,2.2586712373350477,0.6752
2,2.243728326127345,0.6515
3,2.2144971444548323,0.6649
4,2.199703492098065,0.6788
5,2.1845135106195315,0.682
6,2.2291349089857597,0.6602
7,2.1853734897566865,0.6854
8,2.0978042376218258,0.6847
9,2.1258339032637426,0.6904
10,2.1273646834109523,0.6966
11,2.141299842937067,0.6916
12,2.199762493741791,0.6639
13,2.17071024892744,0.6901
14,2.1420130594107434,0.6868
15,2.0407640077274873,0.6914
16,2.068588778412066,0.6989
17,2.0411334650732407,0.6997
18,2.082927395847879,0.6865
19,2.069353530527427,0.6982
20,1.9975343276378086,0.7116
21,1.9843909944249738,0.6992
22,1.9554654593110792,0.7099
23,1.9423110834021453,0.711
24,2.01192250670173,0.7124
25,1.886923882323688,0.7154
26,1.9008809643131281,0.7043
27,1.9417094991636294,0.7094
28,1.9151756007155265,0.7035
29,1.833762825403178,0.7132
30,1.8594251916248892,0.7291
31,1.8198198826699958,0.7288
32,1.8877363186990408,0.7171
33,1.859774311095921,0.7183
34,1.9259936525775072,0.7157
35,1.9001409774071616,0.7129
36,1.718305377655442,0.7247
37,1.7543841110813279,0.7386
38,1.7819167564342735,0.7136
39,1.844823021901348,0.7109
40,1.7791663292737905,0.7172
41,1.6562066675591571,0.7393
42,1.819389118034045,0.7192
43,1.6934447252216707,0.7328
44,1.7558982711166156,0.7252
45,1.7816660297837112,0.7139
46,1.7554487023770873,0.7153
47,1.7289106868635737,0.7178
48,1.6557466210970413,0.7382
49,1.669419446229706,0.7207
50,1.6823798539517263,0.7242
51,1.6096723984799415,0.7445
52,1.5318304268663594,0.748
53,1.5981581537101097,0.736
54,1.5996085889644198,0.7315
55,1.66822972898173,0.7303
56,1.6683894362982403,0.7323
57,1.5978678691137287,0.7389
58,1.610574444809991,0.7326
59,1.5870854668915848,0.7275
60,1.5648440824499732,0.7391
61,1.599175592953027,0.7273
62,1.480184299716514,0.7461
63,1.5318947265831684,0.7332
64,1.541540230870773,0.7451
65,1.4211029393435233,0.7474
66,1.5232396771274324,0.7285
67,1.4382257348653757,0.7447
68,1.5308884161278054,0.7399
69,1.401461712817706,0.7437
70,1.5344844696020528,0.7297
71,1.4304888564302598,0.7389
72,1.4396968632643818,0.7384
73,1.4326370521741012,0.7325
74,1.4418912450768633,0.7346
75,1.382867836912533,0.7425
76,1.41062160504288,0.7497
77,1.4798208347135307,0.7351
78,1.4006335641228174,0.744
79,1.4392234245229443,0.7371
80,1.316185391297599,0.7373
81,1.3107167926849677,0.7502
82,1.3188113831195851,0.7572
83,1.2647917631597971,0.7538
84,1.4017593687224668,0.7356
85,1.411698135312811,0.7406
86,1.3948349567994043,0.7344
87,1.2727733778301067,0.7528
88,1.3146635605720445,0.7425
89,1.2558926770936891,0.7489
90,1.3039955783251955,0.7484
91,1.320148218127137,0.743
92,1.2151193373557376,0.7526
93,1.19452053049296,0.7448
94,1.237091608393255,0.7483
95,1.2132753172559383,0.7532
96,1.2699864717913745,0.7522
97,1.3739477705748926,0.7356
98,1.1742197946238884,0.7453
99,1.1336422083668058,0.756
100,1.3049388428101911,0.7443
