# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.001
mu: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.0308104357016057,0.8259
2,0.767256150597406,0.8521
3,0.6575051498338281,0.864
4,0.5963753311316357,0.8703
5,0.5561975112992414,0.8743
6,0.5278213577243008,0.8794
7,0.5067150624768072,0.8828
8,0.48965170372159444,0.8847
9,0.47634656739781617,0.8852
10,0.46551022538324893,0.8887
11,0.45634623429769694,0.8915
12,0.44822631809011865,0.8922
13,0.44106383239018554,0.8934
14,0.43515696446795665,0.8949
15,0.42972584431820693,0.8961
16,0.42484265833292273,0.8979
17,0.4206907319481749,0.8979
18,0.4164090254847616,0.8997
19,0.4127360885029979,0.9008
20,0.40977017496509316,0.9014
21,0.4068015437262851,0.9017
22,0.4039696333470903,0.9018
23,0.40137206851928503,0.9029
24,0.3992347953929659,0.9039
25,0.3969248447903761,0.9036
26,0.3950357313987044,0.905
27,0.39300817335180444,0.9046
28,0.39131470176666605,0.9052
29,0.38978151852575554,0.9062
30,0.38824240649467323,0.9065
31,0.38693251735470496,0.9072
32,0.38547912693095593,0.9073
33,0.38414219029424906,0.9065
34,0.382914410007105,0.907
35,0.3816870368238918,0.9063
36,0.38045672163783645,0.9086
37,0.3792551422346078,0.9076
38,0.3782474767039021,0.909
39,0.37720041354750133,0.909
40,0.37643956211850454,0.9091
41,0.3756112540080592,0.9092
42,0.37464856395741464,0.9096
43,0.3738640427982663,0.9094
44,0.37315426668833257,0.91
45,0.3724122423972482,0.9095
46,0.37156744158685145,0.9105
47,0.3708766329905595,0.9107
48,0.37038185787517897,0.9106
49,0.36955616069021247,0.9103
50,0.368933340098925,0.9112
51,0.36837259777933,0.9121
52,0.3679034861965068,0.9115
53,0.3672966320787001,0.9119
54,0.3667466305981599,0.9117
55,0.36624292840632855,0.9123
56,0.36571261274307515,0.9114
57,0.3654678619992022,0.9127
58,0.364851537435036,0.912
59,0.36426137473739995,0.9126
60,0.36376997898977,0.9126
61,0.36347647827806434,0.9118
62,0.36324581548534834,0.913
63,0.36277723821121705,0.9123
64,0.3622632489778914,0.9128
65,0.3619775246080635,0.9126
66,0.36148945283966344,0.9125
67,0.3611878824982037,0.9128
68,0.36075376336642856,0.9124
69,0.3603808307067959,0.9126
70,0.36011989393337657,0.9132
71,0.3598998154468176,0.9138
72,0.3595343306482491,0.9135
73,0.3592280542944214,0.9133
74,0.3588373759814759,0.9144
75,0.3586519534584764,0.9134
76,0.3582935447925998,0.9146
77,0.35806412678002747,0.9134
78,0.35781943608491174,0.9153
79,0.3576319287024969,0.9149
80,0.3573938649187015,0.9149
81,0.3572832649153803,0.9144
82,0.35692038682544397,0.9149
83,0.3566739938038715,0.914
84,0.3564266262662874,0.9151
85,0.3561067727066965,0.9155
86,0.3559466764270239,0.9157
87,0.35622147445531177,0.9159
88,0.35562340703424944,0.915
89,0.3556640147395024,0.9166
90,0.3552424285049405,0.9156
91,0.354955903979751,0.9157
92,0.3549255559342199,0.916
93,0.3546760055611789,0.9154
94,0.3544566432218793,0.916
95,0.35437344362665785,0.9153
96,0.354141687558482,0.9151
97,0.3539794103295273,0.9154
98,0.35376433971465704,0.9157
99,0.35369844002881057,0.9166
100,0.3534113953293478,0.9158
