# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.001
num_classes: 10
# Results:

round,obj,test
1,1.0241365281834383,0.8282
2,0.76155136731836,0.8505
3,0.6518664890813645,0.8656
4,0.5903569858298127,0.8729
5,0.5515446303458048,0.8779
6,0.5236215079075567,0.8812
7,0.5033865231212907,0.8824
8,0.4871692608826462,0.8858
9,0.47390733265978213,0.8889
10,0.4629320664827109,0.8905
11,0.4538261487330411,0.8911
12,0.44600811281173963,0.8941
13,0.4391883924457904,0.894
14,0.4332591656793469,0.8961
15,0.42811047779791506,0.8973
16,0.4233658675823668,0.8979
17,0.419243965492723,0.8995
18,0.4155456104782419,0.8988
19,0.41198906895367543,0.8987
20,0.40886312547689113,0.8994
21,0.40597188271020196,0.9013
22,0.4032310842546865,0.9022
23,0.40074726913555964,0.902
24,0.39849031559078807,0.9036
25,0.3963562850375949,0.9034
26,0.3943356769642183,0.905
27,0.3924821629385729,0.9049
28,0.39077330306284747,0.9058
29,0.389192735710918,0.9059
30,0.3876573367483896,0.9061
31,0.3862548647582834,0.9058
32,0.3850514696240676,0.906
33,0.3838283800884785,0.9071
34,0.3823981723406451,0.9075
35,0.3811824658743214,0.9072
36,0.3801573632853133,0.9075
37,0.379038946744366,0.9072
38,0.37812852838616867,0.9082
39,0.37711451948772023,0.9086
40,0.3761350933010811,0.9088
41,0.37548031703180573,0.9098
42,0.3745165405509491,0.9096
43,0.373661993757651,0.9095
44,0.37314371628233967,0.9101
45,0.37246801117984074,0.9105
46,0.371571382885291,0.9111
47,0.3710346940662786,0.9106
48,0.3703069734516003,0.9108
49,0.3696546403510312,0.9109
50,0.3690666843698877,0.9112
51,0.36849578456898485,0.9114
52,0.36787720764709453,0.9119
53,0.36747849707747876,0.9112
54,0.3670235280579033,0.912
55,0.3663982261208119,0.912
56,0.3659426191988725,0.9122
57,0.36533611754697465,0.9125
58,0.36506703757313785,0.9122
59,0.3647790538833308,0.9125
60,0.3640938601514365,0.9131
61,0.3638027692355395,0.912
62,0.36346900786413505,0.9118
63,0.3632752033324779,0.9123
64,0.3629060084500875,0.9128
65,0.3623763367107859,0.9135
66,0.3619983752617536,0.9136
67,0.36170165775068336,0.9132
68,0.3612330608865903,0.9129
69,0.36106342729922863,0.9136
70,0.36089155032455567,0.9133
71,0.36050812043218894,0.9137
72,0.36011650026052805,0.9138
73,0.3598313546898845,0.9138
74,0.35969706880356717,0.9137
75,0.3593920687503785,0.9135
76,0.3591302047060064,0.914
77,0.3588370857888091,0.9138
78,0.3586583472541247,0.9143
79,0.35847875516104694,0.9134
80,0.3582255859975468,0.9141
81,0.3578297733647067,0.9145
82,0.3575785036110624,0.9146
83,0.35743852132438897,0.9149
84,0.3573114943803169,0.9149
85,0.3569812701403436,0.915
86,0.35689129169607575,0.9146
87,0.35665068875827366,0.9154
88,0.3564056653587622,0.9152
89,0.35617401800642523,0.9148
90,0.356091614570342,0.9144
91,0.35576063278904796,0.9152
92,0.3556910607879156,0.9159
93,0.3554424994643926,0.9157
94,0.3554122658734294,0.9154
95,0.3552389907074253,0.9162
96,0.3551175080568808,0.9159
97,0.35502678200897575,0.9151
98,0.35464190920384914,0.9155
99,0.3545869000074488,0.9152
100,0.35437399801664515,0.9157
