# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.01
participation_rate: 0.3
num_classes: 10
lambda: 0.01
participation_rate: 0.3
num_classes: 10
# Results:

round,obj,test
1,0.6679040417648812,0.8954
2,0.5985110973662469,0.9038
3,0.5759951119970618,0.9082
4,0.5626113715455454,0.9129
5,0.5529369209484458,0.9158
6,0.5463538647071766,0.9187
7,0.5435667780976386,0.9197
8,0.5412265891215143,0.9204
9,0.5372426458583197,0.9219
10,0.5339533888881043,0.9238
11,0.5321023032261211,0.9249
12,0.530692318930457,0.9264
13,0.5289497740404427,0.9268
14,0.5271564274007732,0.9275
15,0.5253013580572425,0.9283
16,0.5237214131282484,0.9289
17,0.522551919212061,0.9295
18,0.5214318129487453,0.93
19,0.5214367646573635,0.9295
20,0.5197353905566435,0.9299
21,0.5188789758011058,0.9307
22,0.5175295707405457,0.9311
23,0.5169747044948765,0.9307
24,0.5160624962337812,0.9319
25,0.5153890933542157,0.9313
26,0.5147923389671171,0.9323
27,0.5149906018485724,0.931
28,0.5137490213064345,0.9323
29,0.5134106666384799,0.9338
30,0.5131466418161058,0.9341
31,0.5126616318804607,0.9339
32,0.512254909622823,0.9343
33,0.5117741509951151,0.933
34,0.5116849825910158,0.934
35,0.5112695043549074,0.9348
36,0.5106315021225347,0.9337
37,0.5106236068259358,0.9341
38,0.5105117441569271,0.9347
39,0.5103427431874714,0.935
40,0.5099293167801446,0.9344
41,0.5101610079645785,0.9349
42,0.5105273701525093,0.9336
43,0.5099495168009097,0.9347
44,0.5099091038937812,0.9336
45,0.5102432472222959,0.9336
46,0.5103124768124245,0.9334
47,0.5101588303518761,0.9345
48,0.5102572754983353,0.9333
49,0.510083107431157,0.9344
50,0.5098862462875081,0.9341
51,0.5100999390745801,0.9332
52,0.510023771219899,0.9334
53,0.5094009060151606,0.9345
54,0.5094022522996674,0.9338
55,0.509355638909668,0.9348
56,0.5088750087613365,0.9344
57,0.5088407783718061,0.9341
58,0.5087349130182666,0.9334
59,0.5082968693006441,0.9343
60,0.5082751092987678,0.9341
61,0.5081487292833587,0.9349
62,0.5082033930764569,0.935
63,0.5081660248509982,0.9348
64,0.5082638998647376,0.9344
65,0.5084567454325631,0.9355
66,0.508623818313415,0.936
67,0.5087197648621073,0.9353
68,0.5087118774452541,0.9362
69,0.508351601524343,0.9347
70,0.5085020364178129,0.9357
71,0.5086330850494898,0.9347
72,0.5084032273601851,0.9363
73,0.5086176179502554,0.9353
74,0.5090287573543909,0.9354
75,0.5093435368700956,0.9353
76,0.5092276624295411,0.9348
77,0.5087842011224313,0.936
78,0.5090033456849758,0.9355
79,0.5091347895993096,0.9353
80,0.5088202238919002,0.935
81,0.509116564775026,0.9362
82,0.508815365492951,0.9362
83,0.5089546698416226,0.9366
84,0.5093414412428449,0.9353
85,0.5086459306202155,0.9369
86,0.5090562818436584,0.9361
87,0.5091531242799429,0.9346
88,0.5089846089251013,0.9351
89,0.5092499943748084,0.9348
90,0.5092455801114665,0.936
91,0.5092048186564762,0.9355
92,0.5095362208791869,0.9352
93,0.5098313691795331,0.9347
94,0.5097556679369284,0.9364
95,0.5100414847697472,0.9344
96,0.5098120647398429,0.9359
97,0.5104410768001227,0.9356
98,0.5099262214112531,0.9352
99,0.5103142398726999,0.9358
100,0.5098256332543263,0.9346
