# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,2.604490646632264,0.2242
2,2.4740404730168097,0.3485
3,2.347239978958772,0.444
4,2.2195784384043287,0.5193
5,2.0927017188528745,0.5735
6,1.9707582304201776,0.6221
7,1.8559282410522666,0.6658
8,1.7506838068338144,0.7024
9,1.6566918957615993,0.728
10,1.5736288403736178,0.7495
11,1.5008415844046323,0.7632
12,1.4380150684877673,0.7746
13,1.3830628613391516,0.783
14,1.335652667762939,0.7912
15,1.29413047207381,0.7976
16,1.25786606407295,0.8046
17,1.2256537678361001,0.8095
18,1.1971641909320752,0.8131
19,1.1720852418646064,0.8203
20,1.1496689858909706,0.8241
21,1.129191975337073,0.8276
22,1.1106755538783477,0.8323
23,1.0938292400269345,0.8349
24,1.078432722104979,0.8387
25,1.0642396149815696,0.843
26,1.0510334082373725,0.8461
27,1.039279908269152,0.8483
28,1.0277679937598663,0.8519
29,1.0171929377286377,0.8545
30,1.0072309714222734,0.8568
31,0.9978899327484384,0.859
32,0.9891375440636935,0.861
33,0.9808743822203645,0.8622
34,0.9731334761890676,0.8636
35,0.9658925085440665,0.8654
36,0.9587945289347816,0.8666
37,0.9519621268225791,0.8682
38,0.9456126348602126,0.8688
39,0.9395253691586721,0.8696
40,0.9336384506079578,0.8713
41,0.9282033949373671,0.871
42,0.9228191083920266,0.8731
43,0.9177786839295375,0.8738
44,0.912804828130166,0.8747
45,0.9081082952337353,0.8764
46,0.9035537899835961,0.876
47,0.8990913557067931,0.8777
48,0.8948856747911546,0.8775
49,0.890766832346663,0.879
50,0.8867590322183462,0.8796
51,0.8829461154853159,0.8814
52,0.8791237412190597,0.8825
53,0.87547442044687,0.8831
54,0.8719871166775199,0.8848
55,0.8686485793986931,0.8846
56,0.8653954697321703,0.8859
57,0.8622100176060938,0.8851
58,0.8589676872744847,0.8867
59,0.8558258659265012,0.8873
60,0.8528263598615793,0.8877
61,0.8498663345913929,0.8885
62,0.8470403826229643,0.8889
63,0.8443949271560843,0.8906
64,0.841650493332277,0.891
65,0.8388825348757963,0.8915
66,0.8362272978478319,0.8925
67,0.8337380264673547,0.8929
68,0.8314504847212794,0.8932
69,0.8288039868843252,0.8937
70,0.8263606016178371,0.8938
71,0.8240812286950572,0.8932
72,0.8218912620915395,0.8939
73,0.8196063939768126,0.8945
74,0.8174448234609907,0.8956
75,0.8151391717212685,0.8946
76,0.8130384728975864,0.8949
77,0.8109289843951554,0.8953
78,0.8088459487717482,0.8953
79,0.8067371207852326,0.8964
80,0.8047211389509308,0.8963
81,0.8026529571714694,0.8973
82,0.8007414828674855,0.8973
83,0.7987594983807053,0.8982
84,0.7968916065836014,0.8983
85,0.7950918944199447,0.8978
86,0.7931330509196548,0.898
87,0.7913467774752062,0.899
88,0.7895748750320806,0.8989
89,0.7877454541767316,0.899
90,0.7860756828364738,0.8994
91,0.7842821181218229,0.8988
92,0.7825829141406477,0.8999
93,0.7809251803875161,0.9
94,0.7792505302919459,0.9
95,0.777623684796838,0.9004
96,0.7761042496062085,0.9009
97,0.7744445264710172,0.9004
98,0.7728238205343109,0.9007
99,0.7712785761735579,0.901
100,0.769727122229465,0.9008
