# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,1.0502442325371966,0.8275
2,0.8059056296556114,0.8513
3,0.7141770526048622,0.8616
4,0.666501339575565,0.871
5,0.6379323373336877,0.8751
6,0.6195062528504309,0.8779
7,0.6058598302719392,0.8821
8,0.5964011768815214,0.8846
9,0.5895824246597322,0.8874
10,0.5843481408361325,0.8876
11,0.5801989083562675,0.8904
12,0.5768622069226234,0.8904
13,0.5742997435657833,0.8908
14,0.5721906796512054,0.8923
15,0.5701847167850069,0.8943
16,0.5690334334047357,0.8939
17,0.5677263928126988,0.8953
18,0.5667994723439512,0.8955
19,0.5657498953390602,0.8957
20,0.565010148612642,0.8969
21,0.5641852810420372,0.897
22,0.5635557690963513,0.8979
23,0.5630374599947382,0.8988
24,0.5625915959460742,0.8999
25,0.562210284151232,0.9002
26,0.5618443648400538,0.8994
27,0.5616164665287142,0.9004
28,0.5614251369754689,0.9005
29,0.561058476469125,0.9016
30,0.5610039340746402,0.9009
31,0.5607872372630089,0.9008
32,0.5608952689989638,0.9008
33,0.5605680918831866,0.9022
34,0.5606147019911218,0.9021
35,0.5602793062388218,0.9017
36,0.5602246349246918,0.9022
37,0.5601940397509388,0.9019
38,0.5600438671697465,0.9025
39,0.5599429716125415,0.9029
40,0.5599574406479657,0.9023
41,0.5598324242722055,0.9016
42,0.5597975732525569,0.9017
43,0.5596029944257639,0.9023
44,0.5596859216722014,0.9024
45,0.5596466032893295,0.9032
46,0.5596379661537544,0.9034
47,0.5596862473515324,0.9031
48,0.5595396598119176,0.9038
49,0.5596513335371128,0.9039
50,0.5595789789454685,0.9034
51,0.5594448010583807,0.9035
52,0.5595412260846075,0.9042
53,0.5593598187402508,0.9043
54,0.5593512970486253,0.904
55,0.5592420175443583,0.9045
56,0.5594345116754009,0.9046
57,0.5593014902261577,0.9038
58,0.5593523709114061,0.9045
59,0.5595124366053936,0.9043
60,0.5594258058897426,0.9042
61,0.5593376299157833,0.9036
62,0.5592379191083549,0.9035
63,0.5592572383382273,0.9044
64,0.5592132196334826,0.9039
65,0.5591308641605596,0.9041
66,0.5593131294485485,0.9034
67,0.5591874927655582,0.9043
68,0.5594068006808801,0.9033
69,0.5590924672607614,0.9041
70,0.5590904335812096,0.9041
71,0.5590602250297924,0.9039
72,0.559073691493917,0.9038
73,0.559015288878205,0.9045
74,0.5591095888029625,0.9047
75,0.5591903079104108,0.9037
76,0.5590994657577061,0.9041
77,0.5591503021043418,0.9045
78,0.5591066607610873,0.9039
79,0.5591153074847564,0.9046
80,0.5591992604475736,0.9042
81,0.5591431303760117,0.904
82,0.5593123758868217,0.9033
83,0.5592916058861297,0.9043
84,0.5591994931584066,0.9048
85,0.5590805717625292,0.9045
86,0.5592104664946999,0.9044
87,0.5590017976526964,0.9045
88,0.5590751537116705,0.9043
89,0.5591328781657172,0.9039
90,0.5589852469096961,0.9045
91,0.5590270357249545,0.9046
92,0.5590841113933379,0.9036
93,0.5591262832991881,0.9043
94,0.5590715582619363,0.904
95,0.5589291830510343,0.9039
96,0.559118835175902,0.9049
97,0.5589948749259921,0.9045
98,0.5590586805867152,0.9043
99,0.558947804435656,0.9053
100,0.5590052772626175,0.9041
