# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
learning_rate: 0.99
participation_rate: 0.3
num_classes: 10
learning_rate: 0.001
lambda: 0.01
participation_rate: 0.3
mu: 0
num_classes: 10
# Results:

round,obj,test
1,0.5745759418239418,0.89
2,0.5710344356019994,0.8911
3,0.5710828556659505,0.8934
4,0.5672427368084074,0.8952
5,0.5654694673730309,0.8959
6,0.5648313625965121,0.8986
7,0.5635423920194771,0.8977
8,0.5627431901988889,0.8993
9,0.5623841121468919,0.9006
10,0.562898511384344,0.8974
11,0.5616151730385704,0.9
12,0.561544495690224,0.9006
13,0.5612104790119952,0.901
14,0.5615579790972443,0.8997
15,0.5605023232190738,0.9016
16,0.5605398434897276,0.9026
17,0.5602368059477069,0.9028
18,0.5604368132874167,0.9022
19,0.5603871023996712,0.9023
20,0.5598457140175839,0.9029
21,0.5596857879289496,0.9029
22,0.5595583531549828,0.9026
23,0.5598726958480863,0.9013
24,0.5597021511719977,0.9013
25,0.5596569868506466,0.9027
26,0.5595278292714307,0.9034
27,0.5595570438436301,0.9026
28,0.5594222820326634,0.9041
29,0.5596243703833952,0.9037
30,0.5592197436133022,0.9042
31,0.5592454104767279,0.9037
32,0.5593839787119015,0.9029
33,0.5593260543683944,0.9029
34,0.5591765500381342,0.9043
35,0.5594142354415526,0.9046
36,0.5593534875258698,0.9041
37,0.5591770514042282,0.9039
38,0.559480037307797,0.9034
39,0.5595215542271716,0.9037
40,0.5590778236181673,0.9043
41,0.5589733091594289,0.9037
42,0.5589160191926672,0.9042
43,0.5588751960096209,0.9043
44,0.5590134484968864,0.9043
45,0.5590941732563938,0.9037
46,0.558888790510616,0.9047
47,0.5591646863497283,0.9036
48,0.558983341150941,0.9047
49,0.5589260911397924,0.9033
50,0.5588686466259166,0.9047
51,0.5588403465298409,0.9051
52,0.5590247489593991,0.9043
53,0.5588111154348747,0.9039
54,0.5590518925040782,0.9046
55,0.5590394639277613,0.9046
56,0.5590357161072045,0.9046
57,0.5589239688729949,0.9039
58,0.5590744752714512,0.904
59,0.5587792007861386,0.9044
60,0.5588241697703696,0.9037
61,0.5588603277676706,0.9055
62,0.5587140954244001,0.9045
63,0.5587814519365694,0.9044
64,0.5587579973505343,0.904
65,0.5586964285535269,0.9042
66,0.5588153815384127,0.9051
67,0.5588954952867248,0.9055
68,0.55885828547131,0.9049
69,0.5587691026805497,0.9042
70,0.5587113952263006,0.9042
71,0.5588052953239233,0.9047
72,0.558810150684642,0.9039
73,0.5587092803449901,0.9048
74,0.5586904749964307,0.9046
75,0.5587885092578978,0.9043
76,0.558726842510437,0.9046
77,0.5587727945438957,0.9047
78,0.5587819931944339,0.9049
79,0.5587985389805266,0.905
80,0.5586729695690035,0.9047
81,0.5587268528250009,0.9048
82,0.558749599861465,0.9051
83,0.5587658440598936,0.9048
84,0.5587809463920763,0.9046
85,0.5586842245548722,0.9046
86,0.5586923496120019,0.9047
87,0.5586575731311674,0.9046
88,0.5587664916768104,0.9051
89,0.5586941257886708,0.9052
90,0.5588127187475503,0.9052
91,0.558717733482293,0.9045
92,0.5587192239063015,0.9054
93,0.558699718047841,0.9054
94,0.5587636866701083,0.9047
95,0.5587455515417277,0.9052
96,0.5586934936012695,0.9045
97,0.5587007737025261,0.9047
98,0.5587024914092347,0.9046
99,0.558626982468713,0.9046
100,0.5586720855914534,0.9049
