# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,2.550513800131187,0.2354
2,2.4092141628327437,0.4003
3,2.2713016183251247,0.5098
4,2.137503004682549,0.5837
5,2.010336438739567,0.6368
6,1.8950953124111167,0.678
7,1.7900915263496657,0.7051
8,1.6953363699474264,0.7294
9,1.6118350715587029,0.7514
10,1.5394709286249706,0.7668
11,1.4760661247128481,0.7788
12,1.420004001497446,0.7899
13,1.370866121040533,0.8003
14,1.327682579718781,0.8085
15,1.289440045138823,0.8145
16,1.2557486596202343,0.819
17,1.2252726456192846,0.8265
18,1.1981032501562008,0.8289
19,1.1734784299221532,0.8337
20,1.1514065187002007,0.8372
21,1.13134234469994,0.8402
22,1.1130384125430866,0.844
23,1.096339590801422,0.8472
24,1.0811231665293752,0.8494
25,1.0669393820582551,0.8526
26,1.053983124091158,0.8546
27,1.0416293857184213,0.8559
28,1.03029504295866,0.8584
29,1.0197440863451057,0.8605
30,1.009892255404613,0.8612
31,1.0005291329475874,0.8637
32,0.9917142738193698,0.8652
33,0.9833540026783356,0.8664
34,0.9756553142018337,0.8678
35,0.9682172713291594,0.869
36,0.9610545949502359,0.8708
37,0.9545181628262274,0.8717
38,0.9480259829651512,0.872
39,0.9419848636035326,0.8736
40,0.936122946193694,0.8745
41,0.9305253482480483,0.8743
42,0.9251982391393836,0.8761
43,0.9200374220442972,0.8772
44,0.9150419953448192,0.8777
45,0.9103351939253007,0.8787
46,0.9058262297839714,0.8791
47,0.9013562962735558,0.8805
48,0.8970438739278039,0.8816
49,0.892823113737392,0.8823
50,0.8887253645241683,0.8827
51,0.8849090519639016,0.8845
52,0.8809877022448792,0.8849
53,0.8772770434341588,0.8846
54,0.8738754170239841,0.8853
55,0.8703437664094522,0.8866
56,0.8670216489909457,0.8866
57,0.8637229003837701,0.8876
58,0.8606374814268601,0.8878
59,0.85741613694749,0.8886
60,0.8544152978378975,0.889
61,0.8515009130779876,0.8891
62,0.8485772277426359,0.8897
63,0.8457839194339404,0.8904
64,0.843081178765427,0.8904
65,0.8402526570990225,0.8912
66,0.8375932453288801,0.8917
67,0.8349471225987721,0.8921
68,0.8324399187436261,0.893
69,0.829979567589022,0.8925
70,0.8275827191249328,0.8936
71,0.8251991326569975,0.8937
72,0.8227547457912732,0.8938
73,0.8205016147832971,0.8941
74,0.8182419658304216,0.895
75,0.8161060148802433,0.8947
76,0.8139647453176581,0.8952
77,0.8117970477886528,0.8957
78,0.8096739183202576,0.8955
79,0.8075803518102219,0.8959
80,0.8055371778047554,0.8961
81,0.8035702257557621,0.8973
82,0.8015189896478002,0.8976
83,0.7995561304108721,0.8974
84,0.7976293976316626,0.8973
85,0.7958412288367008,0.8974
86,0.7939779006215126,0.898
87,0.792073846094129,0.8986
88,0.7902182693417111,0.8993
89,0.7883611635715092,0.8985
90,0.7866339138952855,0.8992
91,0.784866326536486,0.8992
92,0.7831947420841484,0.8997
93,0.7814822281226633,0.901
94,0.7797740659607891,0.9005
95,0.7781233618584251,0.9008
96,0.7764510794896957,0.9011
97,0.7748693994640767,0.9012
98,0.7732594750558078,0.901
99,0.7716775980615256,0.9022
100,0.7700313837155466,0.902
