# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 10
learning_rate: 0.1
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,1.2099024779796055,0.8223
2,0.950905296776509,0.8674
3,0.8655995053455666,0.8811
4,0.8160501716834786,0.8903
5,0.7804397042012114,0.8949
6,0.7514128894242793,0.9006
7,0.7277239071078816,0.9024
8,0.7075382438860394,0.9062
9,0.6901252863603805,0.9067
10,0.6740028654601737,0.9086
11,0.6609253623936718,0.9097
12,0.6489613728502149,0.9122
13,0.6382641052426838,0.9121
14,0.6284044654855603,0.9138
15,0.6195742635602801,0.9132
16,0.6117767763929011,0.9135
17,0.6045458198292595,0.9138
18,0.598078425239409,0.9156
19,0.5915358685405204,0.916
20,0.586194092735456,0.9181
21,0.5813257918959153,0.9176
22,0.5769992255871592,0.9169
23,0.5731771926171167,0.9183
24,0.5690226523691654,0.9184
25,0.5663400518903696,0.9186
26,0.5638614392145881,0.9192
27,0.5607708390126698,0.9193
28,0.5580296811397948,0.9206
29,0.5559062083313402,0.9198
30,0.5538919547778163,0.9199
31,0.5520767582466654,0.9204
32,0.5500474533343648,0.9207
33,0.5480012943186374,0.9207
34,0.5471487228937746,0.9212
35,0.5452577198547242,0.9215
36,0.5437740770638824,0.9219
37,0.5430089239268991,0.9223
38,0.5415046931400912,0.9227
39,0.5404289357085477,0.9231
40,0.5396420369824639,0.9237
41,0.5390515069189281,0.9236
42,0.5383030669326895,0.9236
43,0.5369832918543117,0.9243
44,0.5367664960428087,0.9231
45,0.5360675733917554,0.9236
46,0.5352930836145938,0.9231
47,0.5347766997027968,0.9244
48,0.5341241686780638,0.9241
49,0.5335027095390693,0.9243
50,0.5328040317680276,0.9247
51,0.5323875550737532,0.9243
52,0.5315586673808246,0.9247
53,0.5313636089979157,0.9235
54,0.5316524681474895,0.9249
55,0.5304808572699585,0.9248
56,0.530109648530441,0.9238
57,0.529741471102592,0.9249
58,0.5292606891608191,0.9242
59,0.5290292780913189,0.9242
60,0.5285524996705087,0.9243
61,0.5284090327087697,0.9241
62,0.5283147988176676,0.9251
63,0.5272813609712027,0.9252
64,0.5272435484817964,0.9253
65,0.5269364591307112,0.9262
66,0.5268361429687463,0.9256
67,0.5267350448089375,0.9268
68,0.5261466388590569,0.9263
69,0.5260997347723808,0.9267
70,0.5255962656385031,0.9269
71,0.5251029628016869,0.9263
72,0.5254723005777668,0.9265
73,0.5247514622646337,0.9277
74,0.5244006136884362,0.9286
75,0.5244519433352645,0.9275
76,0.5237570967136411,0.9281
77,0.5239447228527894,0.9269
78,0.5236062133942471,0.9268
79,0.5240197521777675,0.9279
80,0.5235090553298177,0.9275
81,0.523350449972554,0.9272
82,0.5231088778959836,0.9282
83,0.5234663883839294,0.9276
84,0.5233116994397385,0.9282
85,0.5229088106824352,0.9282
86,0.5222414533528617,0.928
87,0.5226603702311272,0.9276
88,0.5220717098828055,0.9275
89,0.5218587258049275,0.9274
90,0.5215858494699679,0.9287
91,0.5213411529833142,0.9277
92,0.5217658378157561,0.928
93,0.5212335486131086,0.9277
94,0.5210840907847472,0.9286
95,0.5203474259842363,0.9277
96,0.5205671791486333,0.9282
97,0.5204332919428692,0.9292
98,0.5203790439825923,0.9288
99,0.5200716249244087,0.9276
100,0.5198265584088324,0.9297
