# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.0571358785451208,0.8262
2,0.8100259348960835,0.8507
3,0.7161726092517203,0.862
4,0.6673666945697078,0.8719
5,0.637966372419739,0.8767
6,0.6196077149443167,0.88
7,0.6066158876792069,0.8819
8,0.5972573638413059,0.8856
9,0.590456408699247,0.8868
10,0.5851145697788446,0.8878
11,0.5807126876615272,0.8897
12,0.5774888276219483,0.8914
13,0.5750525540170256,0.8912
14,0.5727283798143081,0.893
15,0.5711585802152284,0.8942
16,0.5693763117312622,0.8949
17,0.567835884052525,0.8961
18,0.5666800800659343,0.8956
19,0.56591146309462,0.8966
20,0.5651947140050501,0.8972
21,0.5644300463286642,0.8971
22,0.5637863435110172,0.8981
23,0.56333672234534,0.8982
24,0.5629367032147694,0.8981
25,0.5624128307547487,0.8989
26,0.5621608301530443,0.8992
27,0.5619305871825464,0.8989
28,0.5618010775243604,0.9006
29,0.5613886425590445,0.8996
30,0.5610851654199256,0.8994
31,0.5608915447066933,0.8999
32,0.5606949228179129,0.9
33,0.5606627951793369,0.9021
34,0.5603282717432164,0.9013
35,0.5602651587877199,0.9016
36,0.5602458436576772,0.9012
37,0.5600642979365947,0.9012
38,0.5599483457519262,0.9014
39,0.5599535874224003,0.9019
40,0.5599041001822892,0.902
41,0.5597105185253763,0.9032
42,0.5596439438796683,0.9029
43,0.5598144051272317,0.9022
44,0.5595953345421885,0.9019
45,0.5596209400681558,0.9029
46,0.5595221861840819,0.9029
47,0.5595597439099288,0.9028
48,0.559784539118963,0.9015
49,0.5594150814688563,0.9031
50,0.559319328419892,0.9035
51,0.5594003738794316,0.9042
52,0.5594068809911733,0.9041
53,0.559376508482411,0.9039
54,0.5593489229300169,0.9035
55,0.5594106784454567,0.9027
56,0.5593391017412267,0.9034
57,0.5595287346197902,0.9037
58,0.5591456692962111,0.9036
59,0.5592005312534343,0.9035
60,0.5591134398260155,0.9038
61,0.5592251569477655,0.9035
62,0.5592141452772451,0.9034
63,0.5592136232656281,0.9032
64,0.5592521228984065,0.9034
65,0.5593180368331354,0.9037
66,0.559099440415194,0.9038
67,0.5591976639205029,0.9034
68,0.5593068684214704,0.9041
69,0.5590040453501656,0.9041
70,0.5592123055412811,0.9034
71,0.5593970371896769,0.9042
72,0.5592059326404283,0.9031
73,0.5592770511793421,0.9041
74,0.559169493214026,0.9037
75,0.5590648337207638,0.9043
76,0.5592033206416763,0.9052
77,0.5591442113258386,0.9046
78,0.5592604476515047,0.9038
79,0.5590433049092068,0.9047
80,0.5589876207680253,0.9044
81,0.5590155903220332,0.905
82,0.5590714210995789,0.9044
83,0.5590215277172405,0.9048
84,0.559125617684424,0.905
85,0.559133335464599,0.9049
86,0.5591133874217059,0.9042
87,0.5590740311836702,0.9045
88,0.5592046118408232,0.9039
89,0.5592234401108546,0.9046
90,0.5592294714674791,0.9039
91,0.5592964087232432,0.9036
92,0.5593408544838647,0.9043
93,0.5591508050889328,0.904
94,0.5591237567974939,0.9042
95,0.5592894556633496,0.9036
96,0.5591332984264247,0.9044
97,0.5590575761672145,0.9048
98,0.5591489837976721,0.9041
99,0.5590410596168248,0.905
100,0.5590688233508839,0.9048
