# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,1.048640934082638,0.8279
2,0.8045660158117021,0.8519
3,0.7126377415162313,0.8644
4,0.6649301993921957,0.8717
5,0.636470615878183,0.8769
6,0.6181818421566379,0.8805
7,0.6058169177601921,0.8819
8,0.5967582950688144,0.8826
9,0.5898753011095693,0.8857
10,0.584434027136362,0.887
11,0.5802919611818491,0.8887
12,0.5768868050391346,0.8907
13,0.5742883939872753,0.8925
14,0.5721663064960464,0.893
15,0.5706133275304698,0.8932
16,0.5692641476532623,0.8948
17,0.5679095870384437,0.8958
18,0.5669188427042994,0.8965
19,0.5659244719414922,0.8974
20,0.5649988788695182,0.8982
21,0.5643238636102754,0.8977
22,0.5638114931205316,0.8977
23,0.5633339144026421,0.8983
24,0.5627608350901819,0.8989
25,0.5627445247744552,0.8988
26,0.5623885195112109,0.8995
27,0.562239431804308,0.8997
28,0.5617899278772388,0.901
29,0.5615109679403928,0.9
30,0.5613114129161487,0.9006
31,0.5610439237678595,0.9003
32,0.5607850983718485,0.9005
33,0.560682142545989,0.9006
34,0.560588138771545,0.9007
35,0.5603547483998056,0.9012
36,0.560227722642031,0.9015
37,0.5601861409066302,0.9026
38,0.560005209014454,0.9031
39,0.5600320111211873,0.9024
40,0.5598463297540742,0.9027
41,0.5598271536182795,0.902
42,0.5597857996353054,0.9028
43,0.5597229316590079,0.9031
44,0.5596156503165328,0.9026
45,0.5597008697488899,0.9032
46,0.5597027089294083,0.9029
47,0.559407701235802,0.9026
48,0.559644050578055,0.9038
49,0.5594324595881193,0.9028
50,0.5595039424982333,0.9037
51,0.5595284340709789,0.9049
52,0.5594677540615238,0.9042
53,0.559330563234499,0.9048
54,0.5596376370598557,0.9038
55,0.5594432862335161,0.9043
56,0.5593511143158608,0.9043
57,0.559341030696611,0.9045
58,0.5591424041670707,0.9041
59,0.5591836579223926,0.904
60,0.559258388773965,0.9045
61,0.5592357214522343,0.9044
62,0.5592633681681618,0.9051
63,0.5590850183850744,0.9044
64,0.5592190871715138,0.9051
65,0.559038952218434,0.9048
66,0.5591356680707619,0.9049
67,0.559137496350209,0.9036
68,0.5591267289148727,0.9036
69,0.5590004201603046,0.9042
70,0.5590469609737054,0.9035
71,0.5589586163413869,0.9051
72,0.5589748765426849,0.9049
73,0.5591170525930755,0.9038
74,0.5590527132117036,0.9046
75,0.559220101560304,0.9047
76,0.5591052386702924,0.9046
77,0.5592163436864684,0.9046
78,0.5591615250535852,0.9047
79,0.5590929875665809,0.904
80,0.5591629394339722,0.9032
81,0.5591540347142909,0.9041
82,0.559100794951609,0.9033
83,0.5591092725088285,0.9044
84,0.5590771440957543,0.9039
85,0.5591042382570959,0.9038
86,0.5591886447956665,0.904
87,0.5593834213456301,0.9039
88,0.5590361876755149,0.9044
89,0.5592319728710365,0.9042
90,0.559061717668844,0.9041
91,0.5590632013078638,0.905
92,0.5590196400086641,0.9047
93,0.5590976930499509,0.904
94,0.5590562836325362,0.9055
95,0.5591537814932152,0.9049
96,0.5591362746667526,0.9043
97,0.5590763124611067,0.9054
98,0.5591329293404383,0.905
99,0.5590902976011839,0.904
100,0.5589726459493433,0.905
