# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 10
learning_rate: 0.1
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.2530460795047984,0.7961
2,0.9481521782998968,0.8618
3,0.8693307396219906,0.8809
4,0.8083357152842603,0.8933
5,0.772221545969229,0.8998
6,0.7449285128580926,0.9038
7,0.7218241522121428,0.907
8,0.700268586156138,0.9093
9,0.6833663807754908,0.9104
10,0.6679866270496155,0.9119
11,0.6535308903161051,0.9136
12,0.6396913199357437,0.9151
13,0.6290577639991282,0.9153
14,0.6194965481828365,0.9165
15,0.6108726168149328,0.9176
16,0.6027655595905557,0.9187
17,0.5952539982762969,0.9193
18,0.5880785315459508,0.9191
19,0.5823716053439262,0.9207
20,0.576923953951848,0.9199
21,0.5720830986794128,0.921
22,0.5675292794054252,0.9223
23,0.563651519275574,0.9223
24,0.5599947210902733,0.9225
25,0.55665300073842,0.9234
26,0.5537786346589862,0.9239
27,0.5514159624087012,0.9244
28,0.5488626767857125,0.9251
29,0.5465971931720216,0.9248
30,0.5443909443055049,0.926
31,0.5425907575054343,0.9257
32,0.5409757242636603,0.9258
33,0.5394407396632435,0.9263
34,0.5379125929490427,0.9262
35,0.5364890366716872,0.9268
36,0.5352942747241668,0.9273
37,0.5342504094648375,0.927
38,0.5329927111980496,0.9277
39,0.5321897485571365,0.9276
40,0.5311248947143432,0.9277
41,0.5304053330961577,0.9275
42,0.5295650399682084,0.9284
43,0.5289087158114245,0.9284
44,0.5282644042683514,0.9282
45,0.5276231578217664,0.9291
46,0.5270102771991636,0.9294
47,0.5265127912835263,0.9292
48,0.5260508114449797,0.9287
49,0.525586361752633,0.9293
50,0.5250783112709609,0.9291
51,0.5247885945052826,0.9294
52,0.524202374057464,0.9303
53,0.5238335858374217,0.9299
54,0.5235658155607346,0.9299
55,0.5231923099379039,0.9314
56,0.5228901647049998,0.9299
57,0.5225837929955874,0.931
58,0.5222746393822918,0.931
59,0.5220602475867138,0.9316
60,0.5217459206476207,0.9311
61,0.5215384167184469,0.9314
62,0.5212935236042819,0.9315
63,0.5210041398532723,0.9314
64,0.5208471209150801,0.9312
65,0.520572537728654,0.9322
66,0.5204198470658516,0.9322
67,0.5202124435209311,0.9319
68,0.5199744903715736,0.932
69,0.5198015525124391,0.9322
70,0.5196424143767041,0.9324
71,0.5194547939961505,0.9323
72,0.5192808101534582,0.9328
73,0.5191505676684429,0.9328
74,0.5190037362948985,0.9329
75,0.5188972813048418,0.9329
76,0.5187136376540102,0.9331
77,0.5185211590285116,0.9331
78,0.5183824274093671,0.933
79,0.5183189735170732,0.9333
80,0.5180713423992198,0.9336
81,0.5179073287371504,0.9332
82,0.5178069573254365,0.9335
83,0.5176777473563146,0.9333
84,0.5175240044642105,0.9333
85,0.5173851161933851,0.9334
86,0.5173466154881661,0.9329
87,0.5171069543952294,0.9336
88,0.5170333185301625,0.934
89,0.5168657827681332,0.9336
90,0.5168573593855891,0.9338
91,0.5166154245887999,0.934
92,0.5164550495907784,0.9337
93,0.5163811242196223,0.9341
94,0.5162072993395533,0.9345
95,0.5161351797871115,0.934
96,0.5159658477377932,0.934
97,0.515860616277897,0.9341
98,0.5157793000879648,0.9348
99,0.5156598391608426,0.9343
100,0.5155273391373857,0.9345
