# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.045691391751985,0.8277
2,0.807179734529003,0.849
3,0.7138813886669034,0.8639
4,0.6659219331372485,0.8721
5,0.6374557271245576,0.8764
6,0.6187130094361099,0.8786
7,0.6061253243867156,0.8816
8,0.5964589269799108,0.8852
9,0.5899388193719621,0.8857
10,0.5844848522944188,0.8885
11,0.5804295594467859,0.8884
12,0.5769491778532626,0.891
13,0.5741267003961253,0.8926
14,0.57203461924071,0.892
15,0.5703362921883803,0.8939
16,0.5688487357661983,0.8947
17,0.5677129661424173,0.8955
18,0.5666402313026998,0.8958
19,0.5656681369182714,0.8972
20,0.5648910420242271,0.8972
21,0.564266953132866,0.8971
22,0.5636830548647889,0.8987
23,0.5630915342690024,0.8982
24,0.5626747569931493,0.8984
25,0.5622948715614098,0.8984
26,0.5619704686502693,0.8991
27,0.5618578035251661,0.8998
28,0.5615631551393778,0.9017
29,0.5614738446844735,0.901
30,0.5610741088525306,0.9013
31,0.5610243810765297,0.9012
32,0.5607103032052341,0.9013
33,0.5606212512834059,0.9011
34,0.560397554722956,0.9016
35,0.5602083686103084,0.9015
36,0.5602678958560127,0.9007
37,0.5600172012522406,0.9018
38,0.5599965908191887,0.9007
39,0.5598641904871701,0.9008
40,0.5598363719483865,0.9025
41,0.5597552596769297,0.9024
42,0.5597907568621702,0.9034
43,0.5597441614937994,0.9018
44,0.5595503190746705,0.9024
45,0.5593894524832373,0.9025
46,0.5594953243058843,0.9033
47,0.5593921988161525,0.9031
48,0.5595786692869588,0.9034
49,0.5593460919895746,0.903
50,0.5593450266050651,0.9027
51,0.5594452397082114,0.9034
52,0.5594963197343884,0.9031
53,0.559275215359765,0.9042
54,0.5594158591218874,0.9039
55,0.5595515184103627,0.9028
56,0.559274992814258,0.9039
57,0.5592658783916554,0.9041
58,0.5593316421015554,0.9045
59,0.5594427594644708,0.9036
60,0.5593221477141359,0.9039
61,0.5593368629205693,0.9041
62,0.5594729033194846,0.904
63,0.5594192977838259,0.9041
64,0.5592912119221781,0.9044
65,0.5592108238113518,0.9041
66,0.5592711698351482,0.9028
67,0.559230392490106,0.9044
68,0.5591262021713371,0.9033
69,0.5591079966559658,0.9029
70,0.5590084761814706,0.9035
71,0.5591906169114799,0.9047
72,0.5591357698895011,0.9043
73,0.5590058747382568,0.9041
74,0.559076116802833,0.9042
75,0.559021761538639,0.9042
76,0.5589395725049296,0.9038
77,0.5591948820913398,0.9044
78,0.5591684804674935,0.9035
79,0.5590657451799174,0.9045
80,0.5590370875472861,0.9043
81,0.5591570153876788,0.9045
82,0.5590589821124502,0.9038
83,0.5590891236534785,0.9033
84,0.5590680066939423,0.9045
85,0.5591306659322653,0.9044
86,0.5590287181837182,0.9045
87,0.5590989811820941,0.9043
88,0.5591264643261598,0.9044
89,0.5591270585888587,0.9048
90,0.5592011989243514,0.9041
91,0.559089635120518,0.9042
92,0.5591797416152982,0.904
93,0.5591077424265143,0.9039
94,0.5591399469850977,0.9035
95,0.5592229297905443,0.904
96,0.5592303682577412,0.9047
97,0.5591426434259761,0.9044
98,0.5589656132735555,0.9046
99,0.5590525676743002,0.9048
100,0.5592086371677921,0.9043
