# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.01
participation_rate: 0.1
num_classes: 10
lambda: 0.01
participation_rate: 0.1
num_classes: 10
# Results:

round,obj,test
1,0.6716925159187926,0.8889
2,0.6044033177993994,0.9018
3,0.5852924841598877,0.9018
4,0.5775259666194705,0.9041
5,0.5684012157918006,0.9064
6,0.5682548100282869,0.9082
7,0.56203009291362,0.9092
8,0.5589947258605998,0.9126
9,0.5595026330426505,0.9128
10,0.5563401820984396,0.9137
11,0.5527324608298078,0.9137
12,0.5524985014033388,0.9123
13,0.5486646527640704,0.917
14,0.5468833903960612,0.9164
15,0.5445551745029202,0.9169
16,0.5449026388962028,0.9148
17,0.5431206201443923,0.9162
18,0.5410841317217702,0.9214
19,0.5385769873946903,0.9212
20,0.5375408200279539,0.9201
21,0.5363001027435506,0.9204
22,0.5340302230827043,0.921
23,0.533994353477642,0.9205
24,0.5320859196494537,0.9223
25,0.5350969843031651,0.921
26,0.5297882276129473,0.9212
27,0.5298182488255854,0.9217
28,0.5298478023138519,0.9226
29,0.5263508095187737,0.9252
30,0.5265297662431047,0.9241
31,0.5266347034960348,0.9236
32,0.527111770183457,0.921
33,0.5244411523954815,0.9258
34,0.5258284055519943,0.9254
35,0.523189457784159,0.9264
36,0.5249541667027346,0.9249
37,0.5208736440043118,0.9277
38,0.5212412894926903,0.9264
39,0.52032676759411,0.9276
40,0.519550350139516,0.9291
41,0.5190261392591683,0.9298
42,0.5195315779994607,0.9305
43,0.5185690459730505,0.9289
44,0.5197543560822262,0.9277
45,0.5191550306854472,0.9293
46,0.5164168001547319,0.9313
47,0.5182623646837444,0.9296
48,0.516661457242839,0.9303
49,0.5167376382356432,0.9298
50,0.5176274789616742,0.9305
51,0.5168435958568944,0.9287
52,0.5164263001026708,0.9303
53,0.5176951949913796,0.9313
54,0.516349525452429,0.9316
55,0.5182637889419953,0.9282
56,0.5170178369497815,0.9291
57,0.5166561340297129,0.9321
58,0.5175530611484509,0.9296
59,0.5158863730625544,0.9308
60,0.5170424629842306,0.9293
61,0.5153826837775038,0.9321
62,0.5158699190260961,0.9305
63,0.5165337616893277,0.9312
64,0.5178330006223081,0.9287
65,0.517533480371125,0.9275
66,0.5171560652844392,0.9329
67,0.5159770697529308,0.9315
68,0.5167341893643999,0.9303
69,0.5177800173436177,0.9276
70,0.5171791356348103,0.9288
71,0.517744108044904,0.9308
72,0.5173385113973309,0.9305
73,0.5178506703994229,0.9293
74,0.5175833635315922,0.93
75,0.5184963027893856,0.9298
76,0.5189300778028642,0.9298
77,0.5192356685118182,0.9289
78,0.5198984884404846,0.9289
79,0.5184844231198192,0.93
80,0.5195166757755322,0.929
81,0.521101460925169,0.9286
82,0.5190537879770803,0.9299
83,0.5213295804823952,0.9298
84,0.5189742027141604,0.9303
85,0.5207352020739426,0.93
86,0.5198270289677037,0.928
87,0.5196446689666063,0.9293
88,0.5201987016861429,0.9288
89,0.5186635355927053,0.9303
90,0.5211869720688279,0.9289
91,0.5210969592860956,0.9292
92,0.5205120686788247,0.9298
93,0.520037042598356,0.9291
94,0.5208901490338911,0.9286
95,0.5224840352213734,0.9281
96,0.5195455834549931,0.9291
97,0.5194381275301,0.9308
98,0.5198111539203359,0.9271
99,0.5193860647354059,0.9306
100,0.5212509956650122,0.9279
101,0.5193085401735292,0.9278
102,0.5215477388411265,0.928
103,0.5223923603453304,0.928
104,0.5200236833217586,0.9283
105,0.5203578852240014,0.9302
106,0.5206375605688017,0.9279
107,0.5205398608107266,0.9293
108,0.5214354877828145,0.9302
109,0.5204672256906953,0.9307
110,0.5224254126584974,0.9278
111,0.522536191751117,0.928
112,0.51980618474531,0.9283
113,0.5222037497538683,0.9291
114,0.523142741191947,0.9284
115,0.5223526857822384,0.929
116,0.521299599959224,0.9301
117,0.5205833666426202,0.9288
118,0.5216681914930262,0.9287
119,0.5215678640127818,0.9296
120,0.5210701863197719,0.931
121,0.5227852219564277,0.9284
122,0.5199825077541659,0.9292
123,0.5241756743983078,0.9271
124,0.5234426371106671,0.9277
125,0.5205316669403935,0.9316
126,0.5207142224897329,0.9296
127,0.5212622524127462,0.9278
128,0.5200304677188303,0.9313
129,0.5231223456278027,0.9274
130,0.5201915306647391,0.9292
131,0.5201416972642589,0.9305
