# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.1
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,2.531633785886942,0.2434
2,2.369645062472247,0.3982
3,2.202128070563116,0.5126
4,2.0476852334836253,0.5853
5,1.9126930267775457,0.6459
6,1.7969313327262415,0.6873
7,1.7009544054864847,0.7119
8,1.61735851006089,0.7342
9,1.5445818145437835,0.7485
10,1.4825714783546444,0.7655
11,1.4279403443238754,0.7772
12,1.37875972542047,0.7851
13,1.3359261092292467,0.7935
14,1.2982845501144527,0.8016
15,1.2644289425652102,0.8088
16,1.2340106554048407,0.8133
17,1.2071199288878953,0.8216
18,1.1823541697699418,0.8248
19,1.1607806331267576,0.8319
20,1.1397198581363825,0.8347
21,1.1213205296580997,0.8374
22,1.104027032440885,0.8428
23,1.0881214516159565,0.8468
24,1.0744644856430678,0.8482
25,1.0606739177781777,0.8522
26,1.0481695452901343,0.854
27,1.0365411158491191,0.8557
28,1.0250017858237501,0.858
29,1.0148927585726901,0.8594
30,1.0052837346289283,0.8622
31,0.9964527518980127,0.8654
32,0.9879332763312026,0.866
33,0.9797050964182277,0.867
34,0.9718162885882382,0.8684
35,0.9643730413381444,0.8703
36,0.9576225309774556,0.8708
37,0.9510334149875865,0.8731
38,0.9444331367027893,0.8745
39,0.9384850363451793,0.8746
40,0.9322100499434336,0.876
41,0.926780692000374,0.877
42,0.9214023333707069,0.8783
43,0.916262662714991,0.8792
44,0.911325873472142,0.8797
45,0.9066677365454375,0.8818
46,0.9023329289311015,0.8816
47,0.8978853866718447,0.8821
48,0.8936186337468502,0.8833
49,0.8894092593720638,0.884
50,0.885858214796044,0.8846
51,0.8817390662992423,0.8852
52,0.8779897885897772,0.8868
53,0.8744034149445012,0.8875
54,0.8713162506358186,0.8881
55,0.8678006678291855,0.8887
56,0.8642190474780536,0.8893
57,0.8609511194553544,0.8893
58,0.8578557822460314,0.89
59,0.8549741887441302,0.8913
60,0.8518513058840046,0.8919
61,0.8490861989860908,0.8908
62,0.8463947677109132,0.8926
63,0.8436442545358468,0.8917
64,0.8405925544823272,0.8934
65,0.8383795615418956,0.8932
66,0.8357215942941686,0.8952
67,0.8330268071061165,0.8944
68,0.8303212173337107,0.895
69,0.8280383496137586,0.8951
70,0.8256269864345614,0.8951
71,0.8230090021292389,0.8969
72,0.8210748868685338,0.8969
73,0.8187043591305754,0.8965
74,0.8164432604966105,0.8975
75,0.8139320127164432,0.898
76,0.811689801075056,0.8984
77,0.8100484357358841,0.8981
78,0.8079340995025464,0.8978
79,0.8057969018494789,0.8997
80,0.8037765291434059,0.8999
81,0.8022097378838087,0.9009
82,0.8000226492571213,0.8998
83,0.7984272311448689,0.9017
84,0.7963555616162336,0.9004
85,0.7945545869812721,0.9009
86,0.7925159619423361,0.9011
87,0.7907760540960316,0.9019
88,0.7894266957362546,0.9005
89,0.7872169388412787,0.9016
90,0.785786327530784,0.9015
91,0.7840704263445143,0.9031
92,0.7825319158515128,0.9022
93,0.7812232284086049,0.9016
94,0.7791772829959096,0.9021
95,0.7773374871700326,0.9025
96,0.775852552547049,0.9037
97,0.7744435276038373,0.9034
98,0.7728707138951594,0.9045
99,0.7713051381340379,0.9035
100,0.7697151367654211,0.9047
101,0.7682338501531095,0.903
102,0.7666353546452392,0.904
103,0.7654521801032326,0.9043
