# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.05
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,1.0568064159302626,0.8352
2,0.8124965786796152,0.8459
3,0.7229446556238694,0.8558
4,0.672916102386576,0.8657
5,0.6427594679886596,0.8739
6,0.6243803314807734,0.8755
7,0.6124716991745384,0.8803
8,0.6022134684720345,0.8813
9,0.5943152463320244,0.8859
10,0.5888921435632691,0.886
11,0.5847504760960873,0.8898
12,0.5804966325398571,0.8887
13,0.5771682637768181,0.8918
14,0.5766468532884641,0.8922
15,0.5758109507682988,0.8922
16,0.5727882184981766,0.8931
17,0.571860510427482,0.8936
18,0.5703714491925473,0.8952
19,0.5696022730672208,0.896
20,0.5692079361849484,0.8952
21,0.5666315634055563,0.8972
22,0.567335699603212,0.8983
23,0.5675899978023314,0.8972
24,0.5664878186007561,0.8966
25,0.5659676560948687,0.8977
26,0.5669762374736199,0.8991
27,0.5643419463002085,0.8999
28,0.5645337981321671,0.9003
29,0.5643944893415442,0.9011
30,0.5632534449850454,0.9002
31,0.5643817489425539,0.8996
32,0.5635765005564859,0.901
33,0.564403370539338,0.9002
34,0.5630553228830406,0.9014
35,0.5633794598450003,0.9005
36,0.5632131103951574,0.9002
37,0.5630779643115268,0.9004
38,0.5623803504933873,0.9008
39,0.5634880637522951,0.8999
40,0.5641320602863612,0.8996
41,0.5645972575410422,0.8991
42,0.5629141047287591,0.901
43,0.5638235119048202,0.9016
44,0.5626346392284342,0.9007
45,0.5640763626672507,0.9015
46,0.5639230744780958,0.9006
47,0.5633629998959858,0.902
48,0.5636093424100618,0.9017
49,0.56278842286097,0.9024
50,0.562311465244745,0.8994
51,0.5629454913174665,0.9029
52,0.5629773852813206,0.9009
53,0.5629503230271796,0.9033
54,0.5618172897851231,0.9048
55,0.5618663796926754,0.9028
56,0.5614983140901195,0.9042
57,0.5611541270277086,0.9049
58,0.5618145458647312,0.9034
59,0.5620380943285546,0.9043
60,0.5616153296472154,0.9039
61,0.5631479999461982,0.9021
62,0.5619316325852413,0.9036
63,0.5624046074316467,0.9015
64,0.5620216671308205,0.9013
65,0.5638867372323543,0.9014
66,0.5622984506471489,0.9011
67,0.5634512206232201,0.901
68,0.5622564857144277,0.9031
69,0.5633501098764675,0.9001
70,0.5626589072742307,0.902
71,0.5623261619734493,0.9015
72,0.5627507200164128,0.9024
73,0.5637718671574181,0.9016
74,0.5617910028494753,0.9009
75,0.5629379552403599,0.9024
76,0.5623430745074296,0.902
77,0.5620114737041648,0.9023
78,0.5626255147732647,0.9033
79,0.5632619947685096,0.9013
80,0.5627080122619113,0.9032
81,0.5618723226023372,0.903
82,0.5625219401252785,0.9027
83,0.5628285626587372,0.9027
84,0.5629989106564645,0.9025
85,0.5621638770383556,0.9017
86,0.5613015003846492,0.9043
87,0.5613091053279088,0.9042
88,0.5617239833112116,0.9037
89,0.5637544278714127,0.9026
90,0.5629934032624977,0.9021
91,0.5613707942444797,0.9027
92,0.5611833633282086,0.9036
93,0.5619333387873346,0.9024
94,0.5613509306928722,0.9025
95,0.5625322146610785,0.902
96,0.5617741909075021,0.9031
97,0.5622712517405152,0.9022
98,0.5621414815916865,0.9022
99,0.5619498661845462,0.9038
100,0.5614500159703797,0.9049
101,0.5617122723955721,0.9053
102,0.5618947058903547,0.904
103,0.5609833837386611,0.9034
104,0.5616664408162209,0.9031
105,0.5614452224237402,0.903
106,0.5619469562628125,0.9028
107,0.5622370567549598,0.901
108,0.5618311389296248,0.9042
109,0.5618332800536142,0.9014
110,0.5624428221609884,0.9011
111,0.5629563371838843,0.9017
112,0.5616721908210522,0.9042
113,0.5639315895844835,0.9029
114,0.5623691025574246,0.9032
115,0.5628852883576088,0.9025
116,0.561970695061092,0.904
117,0.5616688622651663,0.9042
118,0.5628678079191254,0.9008
119,0.5620975980309032,0.9044
120,0.5608121661622015,0.9062
121,0.5619953319654754,0.905
122,0.5621983531116587,0.9025
123,0.5622873416880557,0.9047
124,0.5631132195369718,0.9051
125,0.5625938771138469,0.9056
126,0.5623048450149678,0.9052
127,0.5636218201529696,0.9036
128,0.5634013552303492,0.9043
129,0.5656809409263595,0.9033
130,0.563813088854848,0.9033
131,0.5627362761596434,0.9023
132,0.5623563218892197,0.9034
133,0.5629231394951008,0.9038
134,0.5613602917359477,0.9031
135,0.5619377929451157,0.9035
136,0.5635203667412306,0.9014
137,0.5621137871303157,0.9012
138,0.5614016598455108,0.9031
139,0.5634715747158069,0.902
140,0.5618619882123277,0.9028
141,0.5628540982047704,0.9025
142,0.5630293419306553,0.902
143,0.5632062802094682,0.9038
144,0.5622802724365401,0.9052
145,0.5620238930821281,0.903
146,0.5647512263123914,0.9037
147,0.5617318386865215,0.9038
148,0.5631387154748319,0.9034
149,0.5623159894307097,0.9044
150,0.5619722555025114,0.9064
151,0.562076520201266,0.9059
152,0.5621245768696999,0.9058
153,0.5617810506782486,0.9045
154,0.5627846386685573,0.9033
155,0.5614213260324382,0.9051
156,0.5618859699358139,0.906
157,0.561619152344672,0.9053
158,0.5636037328343848,0.9052
159,0.5609865444951084,0.9067
160,0.5618900629586125,0.904
161,0.5617184529403427,0.9049
162,0.5613014983989373,0.904
163,0.5616957539463519,0.9043
164,0.5626150656102262,0.9025
165,0.5632063186267224,0.9019
166,0.5635523918741504,0.9019
167,0.5641301306700999,0.9017
168,0.5618561791652633,0.9034
169,0.5617825440960793,0.9034
170,0.5618291595593495,0.9025
171,0.5622976295021753,0.901
172,0.5611364154952267,0.9013
173,0.5625699965603425,0.9012
174,0.5626454127189365,0.9027
175,0.5623424059716184,0.9021
176,0.5649894805024848,0.9018
177,0.5625382516163702,0.9038
178,0.5629989774182551,0.9015
179,0.563469546453464,0.9031
180,0.562548563203292,0.9029
181,0.5625922160329445,0.9034
182,0.5620386041699704,0.9028
183,0.5619929816784052,0.9041
184,0.5625683314747905,0.9028
185,0.5628084640484121,0.9017
186,0.5632193963790204,0.9019
187,0.5628150971043666,0.9044
188,0.561867868306814,0.9024
189,0.5621265421588105,0.9037
190,0.5636130096977708,0.9029
191,0.5622852076161059,0.9024
192,0.5622860175748587,0.9032
193,0.5618786003195785,0.9013
194,0.5632735982478471,0.9036
195,0.5620969349001466,0.9031
196,0.561201504270631,0.9057
197,0.5628732531236468,0.9041
198,0.5627886509533463,0.9035
199,0.5625126295284729,0.902
200,0.5629448938468907,0.9027
201,0.5619710865378135,0.9023
202,0.5617242711695947,0.9024
203,0.5615761532702384,0.903
204,0.5618395539227221,0.9034
205,0.562449128241907,0.9036
206,0.5625142894300103,0.9005
207,0.5618733857487358,0.9026
208,0.561834593044771,0.9021
209,0.561776652212594,0.9022
210,0.5618524593281429,0.9021
211,0.5619868510415786,0.9029
212,0.5624277627582357,0.9019
213,0.5614436091759912,0.9026
214,0.5620946606685527,0.9016
215,0.5622423526866633,0.9007
216,0.5615535694588139,0.9004
217,0.5624161761026296,0.9024
218,0.5619849339483285,0.9044
219,0.5629743145826047,0.9012
220,0.5617987843392682,0.9024
221,0.5622464982749739,0.902
222,0.5610463890407497,0.9031
223,0.5622223532421966,0.9027
224,0.5622222637559511,0.902
225,0.562371536270548,0.9036
226,0.5611662715619105,0.9041
227,0.5616680423743303,0.9037
228,0.562493050928976,0.9031
229,0.5620940836192434,0.9032
230,0.562382506141687,0.9018
231,0.5625717515975001,0.9032
232,0.5622459437629956,0.903
233,0.5615235454407266,0.904
234,0.5617959924420403,0.9051
235,0.5622525163280649,0.904
236,0.5619750557668868,0.9045
237,0.5616439792948834,0.9042
238,0.5623904564447362,0.9041
239,0.5622576312757666,0.9036
240,0.5614947842688442,0.9042
241,0.5622686300588994,0.9035
242,0.5622926079535896,0.9041
243,0.5617430068680025,0.903
244,0.5614360262929387,0.9038
245,0.5615357433378938,0.9049
246,0.5614831544184645,0.9046
247,0.5617107840514126,0.9045
248,0.5618842905031726,0.9023
249,0.5624367037916523,0.9024
250,0.5626663990942142,0.9024
251,0.5623098291327073,0.9033
252,0.561489553397831,0.9017
253,0.5634966913640329,0.9017
254,0.562342351371977,0.9031
255,0.5633321849711656,0.9021
256,0.5617073433644676,0.9028
257,0.5622850692517395,0.9022
258,0.5625377970196677,0.9022
259,0.562576193460323,0.9033
260,0.5620857345649374,0.9031
261,0.5625648903973796,0.9027
262,0.5620893681729173,0.9033
263,0.5619863002095006,0.9042
264,0.5622667857165093,0.9031
265,0.5647312102419032,0.9027
266,0.5630302904284125,0.9019
267,0.5618895467840709,0.9042
268,0.5633443358834912,0.9021
269,0.5624904511413416,0.9019
270,0.5618504557492401,0.9024
271,0.5617892103656084,0.9031
272,0.562003758102651,0.9026
273,0.5630423795304814,0.9042
274,0.5621320297645924,0.9029
275,0.5616641845081422,0.9038
276,0.5615083255776939,0.9032
277,0.5613316853169228,0.9012
278,0.5622785525629227,0.9034
279,0.5615077849213806,0.902
280,0.5624535258629143,0.903
281,0.5623468669590576,0.9032
282,0.5621129475560492,0.9031
283,0.56274810410611,0.9029
284,0.5625582258994725,0.9024
285,0.5623421398313534,0.9024
286,0.5621906996177368,0.9016
287,0.5620495715871463,0.9022
288,0.5618364535819556,0.9038
289,0.5630785854773673,0.902
290,0.5632977325870601,0.9021
291,0.563362273386073,0.9019
292,0.5632527939557983,0.9027
293,0.5633185472455873,0.9035
294,0.5630045706691983,0.9025
295,0.5641582812640699,0.9023
296,0.56237156299971,0.9033
297,0.5629123081765448,0.9028
298,0.5616306175070177,0.9046
299,0.5620854145839068,0.9035
300,0.5629320296523068,0.9031
301,0.5633728227428753,0.9033
302,0.5637273568417404,0.9014
303,0.5635312302054741,0.9039
304,0.563546826866625,0.9039
305,0.5617944549500296,0.9043
306,0.5616262605942127,0.9043
307,0.5621190501122413,0.904
308,0.5626706187058516,0.9025
309,0.5617756999290497,0.9048
310,0.562283905342784,0.9025
311,0.5621833969082457,0.9003
312,0.5626319132417296,0.9022
313,0.5625487775636726,0.9007
314,0.5634410210917842,0.9013
315,0.561858169558069,0.9037
316,0.5629127966377618,0.9022
317,0.5628556125144479,0.9018
318,0.5620112677421096,0.9017
319,0.5614956186946578,0.9059
320,0.5617518357115807,0.9048
321,0.5616457901707594,0.9059
322,0.5613934420202797,0.905
323,0.5614498155754978,0.9044
324,0.5627987518399001,0.902
325,0.5627159220229144,0.9033
326,0.5620491395137627,0.9031
327,0.5625370410693007,0.9041
328,0.5635467090557175,0.9029
329,0.5636392759953129,0.9022
330,0.5631398550312856,0.9027
331,0.5631128007735943,0.9041
332,0.5624702851852287,0.9036
333,0.5626066488462361,0.9044
334,0.562666211389119,0.9041
335,0.562037576424098,0.9027
336,0.5615672277411435,0.9033
337,0.561782821867098,0.9035
338,0.5610207985631046,0.9027
339,0.5612798095767678,0.9024
340,0.5620787718443849,0.9021
341,0.5633052764681934,0.9024
342,0.562126002209316,0.9027
343,0.5630545484503527,0.9022
344,0.5625636708984424,0.9024
345,0.5624329915444071,0.9036
346,0.5624776016671833,0.9037
347,0.5622879789345822,0.9047
348,0.5623266257427576,0.9032
349,0.5629208696976745,0.9045
350,0.5619912468242699,0.9035
351,0.5638357860506027,0.9028
352,0.563487598397429,0.904
353,0.5629841826235005,0.9022
354,0.5624407568196272,0.9038
355,0.5627167120166238,0.905
356,0.5637147172308098,0.9037
357,0.5619242097151083,0.9031
358,0.5617623543382494,0.9034
359,0.561912820631706,0.9033
360,0.5613626979012065,0.9043
361,0.5626678249743896,0.9039
362,0.5618517444166585,0.9056
363,0.5620239496914664,0.9059
364,0.5632353123033926,0.9014
365,0.560878988543283,0.9047
