# Configuration:

dataset name: mnist
model name: softmax classification
num_clients: 100
learning_rate: 0.99
participation_rate: 0.1
num_classes: 10
learning_rate: 0.001
lambda: 0.01
participation_rate: 0.1
num_classes: 10
# Results:

round,obj,test
1,0.5926335642358338,0.8808
2,0.5875056029609932,0.8873
3,0.5854199984488682,0.8857
4,0.5778087000904301,0.8908
5,0.5818856486224098,0.8875
6,0.5813691079536688,0.8902
7,0.5736011027832687,0.8931
8,0.5763281174946894,0.8911
9,0.5769189102994249,0.8881
10,0.5796694049150906,0.8911
11,0.573241746962292,0.8946
12,0.572340106117779,0.8942
13,0.5741163950027609,0.8935
14,0.5716696808551069,0.8976
15,0.573854177892016,0.8943
16,0.5695641659478305,0.8949
17,0.5696541221266742,0.8944
18,0.5707471719496441,0.8953
19,0.5723734380329759,0.8931
20,0.5706883750062384,0.8958
21,0.566815119797243,0.8968
22,0.5673073510317348,0.8963
23,0.5659286067201476,0.8977
24,0.5676449511960496,0.8955
25,0.5658949875764969,0.8979
26,0.5653319353557513,0.8964
27,0.5647652871342556,0.8966
28,0.5643338950428816,0.9
29,0.5658998952469316,0.8995
30,0.5634903288020342,0.9014
31,0.5698006374660751,0.896
32,0.5670966435157447,0.8977
33,0.5643753662317446,0.8978
34,0.5664038773510657,0.8969
35,0.5673144878032468,0.8953
36,0.5653915250117878,0.901
37,0.5649790377798852,0.8988
38,0.5631213958679496,0.8986
39,0.5633909878151784,0.9015
40,0.5630848120981803,0.9
41,0.5638092258944745,0.9
42,0.5634470455508119,0.8991
43,0.564692036663517,0.8998
44,0.5625914131405642,0.9007
45,0.5645285360647241,0.9011
46,0.5626240961342658,0.903
47,0.5635413362864039,0.8988
48,0.5621464483583001,0.9009
49,0.5626026656406136,0.9023
50,0.5628189049169969,0.901
51,0.5615067965760645,0.901
52,0.563054842128986,0.9008
53,0.561513407854755,0.9008
54,0.5619079373180406,0.9003
55,0.5620028475165043,0.901
56,0.562021461914258,0.9006
57,0.5617557683669945,0.8996
58,0.5621212529457366,0.9006
59,0.562073938984423,0.9003
60,0.5616417773727804,0.9022
61,0.5613222380924164,0.9019
62,0.5610672684866959,0.9015
63,0.561268615163428,0.9004
64,0.5615695976398831,0.9021
65,0.5608966132833929,0.9008
66,0.5619042674417369,0.9006
67,0.564367742020089,0.9003
68,0.5619664579652656,0.902
69,0.5608165291494357,0.9012
70,0.560853320737798,0.9014
71,0.5604235573089525,0.9015
72,0.5605242835979526,0.903
73,0.5605986081547031,0.9036
74,0.5605670023005834,0.9016
75,0.5608412891132589,0.9024
76,0.5617222934172973,0.9008
77,0.560754296460953,0.9029
78,0.5611444361870862,0.9022
79,0.5604222314006696,0.9043
80,0.5603828704038111,0.902
81,0.5604015237146497,0.9022
82,0.5611766210202793,0.903
83,0.560635372889227,0.9014
84,0.5608636172486424,0.9019
85,0.5604805206326645,0.9023
86,0.561492730334939,0.9037
87,0.5607032913118924,0.9029
88,0.5602318530565467,0.9041
89,0.5601291108418108,0.9033
90,0.5602519096646656,0.9034
91,0.560273070465588,0.9026
92,0.5606027499978578,0.9018
93,0.5599749977318517,0.9043
94,0.5604441366290731,0.902
95,0.5602628813077558,0.9039
96,0.5601759430538774,0.9028
97,0.5597778385753327,0.9035
98,0.560471895148393,0.9032
99,0.5605374097130608,0.9031
100,0.5597951336488511,0.9016
101,0.5602381010606476,0.9034
102,0.5600218596760554,0.904
103,0.5602617387011783,0.9018
104,0.5598759561141579,0.9046
105,0.5597739729190467,0.9024
106,0.5600749067242184,0.9042
107,0.5597230346502079,0.9035
108,0.5605470106385013,0.9023
109,0.5599554744376883,0.9041
110,0.5594729671371195,0.9041
111,0.5597085212207302,0.9032
112,0.5604188755344853,0.9026
113,0.5609719963168907,0.9043
114,0.5595740386867788,0.904
115,0.559809161584639,0.9037
116,0.5594738637795492,0.9036
117,0.5595131363304922,0.9038
118,0.559402536354668,0.9029
119,0.559731383985599,0.9041
120,0.5596325937473119,0.9042
121,0.5599859285381813,0.9037
122,0.5603082224221559,0.9025
123,0.5600103983845378,0.9033
124,0.5599197755001288,0.9034
125,0.5596789351684998,0.9038
126,0.5599697109378456,0.9036
127,0.5596774096180078,0.9048
128,0.5595284583903247,0.9038
129,0.5593591201488566,0.9036
130,0.5598243885279812,0.9037
131,0.5595364799697761,0.904
132,0.5598185921511531,0.9025
133,0.5601725640656321,0.9034
134,0.5594875914818325,0.9041
135,0.5596614137186782,0.9031
136,0.5593428537641453,0.904
137,0.5604333446155251,0.9031
138,0.5595557760268817,0.9044
139,0.559751089568091,0.9035
140,0.5603659085090025,0.9033
141,0.5595337399233128,0.9035
142,0.559858852263447,0.9015
143,0.5594020130809974,0.9052
144,0.5595279673004087,0.904
145,0.5596487141415236,0.9025
146,0.5595006985618056,0.9027
147,0.5593561743237974,0.9053
148,0.5593627378981827,0.9037
149,0.5596014568595988,0.9032
150,0.5596666635691906,0.9032
151,0.5593730512643125,0.9048
152,0.5599764478494721,0.9029
153,0.5593982263025641,0.9039
154,0.5595787727702838,0.9037
155,0.5595639581725157,0.9026
156,0.5599704322946151,0.9046
157,0.5593664357227343,0.9033
158,0.5593586002362082,0.9039
159,0.5592087183138211,0.9032
160,0.5595390090264565,0.9045
161,0.5590819744719578,0.9051
