# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.05
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,2.555418102443911,0.2416
2,2.406115900855548,0.4086
3,2.2697167467469,0.4962
4,2.1405592650088647,0.5596
5,2.013264852334683,0.6292
6,1.8902390095973463,0.682
7,1.7812504068158421,0.7179
8,1.6852254931611745,0.7431
9,1.6017136946564712,0.7627
10,1.5267439460668681,0.7746
11,1.459837716832681,0.7901
12,1.4043036460287086,0.8023
13,1.3549567484884952,0.8092
14,1.3112315621818025,0.8162
15,1.2721008148838524,0.8263
16,1.238011251907376,0.8297
17,1.207673620742828,0.8364
18,1.1811954997242469,0.838
19,1.1557257139000392,0.843
20,1.134612529667219,0.8479
21,1.1143887441224203,0.85
22,1.096885810732063,0.854
23,1.0810131188419143,0.8571
24,1.0671040139883674,0.8591
25,1.053246725262969,0.8605
26,1.0400830165805244,0.8643
27,1.0284566827282922,0.8658
28,1.017556766213,0.8661
29,1.007147305025389,0.8694
30,0.9970280910577966,0.8723
31,0.9880407797417499,0.8735
32,0.9795206966391573,0.8742
33,0.9718782858532132,0.8745
34,0.9639132998877774,0.8774
35,0.9570800398896717,0.8777
36,0.9504560996577252,0.878
37,0.9445078732233199,0.8779
38,0.9381280653222895,0.8793
39,0.9321808443443983,0.8803
40,0.9272759504502287,0.8809
41,0.9216984448347498,0.8807
42,0.9167323917231271,0.8827
43,0.9114302789046642,0.8828
44,0.9073727344145414,0.8836
45,0.9025481920254487,0.885
46,0.8981819182575114,0.8853
47,0.894086124265168,0.8856
48,0.8903974839492402,0.8848
49,0.8862056731371624,0.886
50,0.8829627703686046,0.8859
51,0.8787586072858509,0.8871
52,0.8761469899873364,0.8867
53,0.8714578404240789,0.8877
54,0.8684003369374373,0.8878
55,0.865876353614295,0.889
56,0.8616646655714154,0.8883
57,0.8602239496600323,0.8882
58,0.85662796917861,0.888
59,0.8530363283056294,0.8899
60,0.8501265865257888,0.8901
61,0.847920612706162,0.8908
62,0.8449260992590997,0.8905
63,0.8424515675754293,0.8919
64,0.8398946563127434,0.8919
65,0.8368021915475659,0.8919
66,0.8348121111823611,0.8924
67,0.8319949268033595,0.8933
68,0.8296599666010994,0.8927
69,0.8274713381547325,0.8938
70,0.8255173436824952,0.8947
71,0.8225733596549444,0.8948
72,0.8203104413232569,0.8948
73,0.8180354833286109,0.8956
74,0.8160552475783293,0.8953
75,0.8141270476227567,0.8954
76,0.8119087117836683,0.8952
77,0.809969659659602,0.8955
78,0.808163409686929,0.8963
79,0.8062092312456999,0.8954
80,0.8043327526122549,0.896
81,0.8016985013468606,0.8968
82,0.8003358824167189,0.8973
83,0.7981990674945071,0.8962
84,0.796271795178685,0.8976
85,0.794704011054772,0.8973
86,0.7928233554893086,0.8981
87,0.7911460327369492,0.8989
88,0.7899418012459761,0.8971
89,0.7876012536153517,0.899
90,0.7862516372308159,0.8987
91,0.7847969222048216,0.8996
92,0.7827483601777707,0.8999
93,0.781251035940177,0.8995
94,0.7797587756724947,0.8984
95,0.7780999674232666,0.8992
96,0.7764740787721431,0.9
97,0.7754838005081386,0.9001
98,0.7735239374575761,0.9016
99,0.7719732680721039,0.9005
100,0.7711489888166196,0.9008
101,0.7685345327658047,0.9011
102,0.7670071776623568,0.9011
103,0.7654620149266412,0.9019
104,0.764340398043019,0.9011
105,0.7629669130187957,0.9024
106,0.7613892373923565,0.9032
107,0.7610283963650589,0.9027
108,0.7588259524118515,0.9022
109,0.7571364314957404,0.9022
110,0.7556623599818552,0.9026
111,0.7548022643689623,0.9037
112,0.7537666947373443,0.902
113,0.751855713726432,0.9014
114,0.7510748284547689,0.9016
115,0.7496812323108148,0.9028
116,0.7478547426854957,0.9034
117,0.7476748772516962,0.9018
118,0.7461819932080198,0.9022
119,0.7439629873235093,0.9038
120,0.7434848799840399,0.9049
121,0.7418140414184825,0.9032
122,0.7405942632957543,0.9039
123,0.7395567887688648,0.9035
124,0.7383616000936993,0.9028
125,0.7371628333088117,0.9033
126,0.7359180029689222,0.9036
127,0.7356313152495892,0.9026
128,0.7338672151589114,0.9039
129,0.7327383160084837,0.9039
130,0.7317942414421469,0.9037
131,0.7304307418409024,0.9021
132,0.7291331672151157,0.9031
133,0.7281756450905867,0.9055
134,0.726655883676984,0.9046
135,0.7266103426759335,0.903
136,0.7249330437420605,0.9032
137,0.723663085805094,0.9044
138,0.7223589094200916,0.9057
139,0.7216686088295863,0.9055
140,0.7205207936060125,0.9044
141,0.7195357096430384,0.9039
142,0.7179404254864622,0.9041
143,0.7168742130388213,0.9051
144,0.7159253981550787,0.9056
145,0.7147380256533599,0.9058
146,0.7139276701172588,0.9071
147,0.7132402361645244,0.9071
148,0.7122814316888609,0.9059
149,0.7114768958073606,0.9069
150,0.7101026901394315,0.9072
151,0.7092274729623842,0.9072
152,0.7085008082394525,0.9066
153,0.7078904338568974,0.9065
154,0.706151737072937,0.9062
155,0.7050871554283313,0.9068
156,0.7044815430561415,0.9067
157,0.702997340118252,0.907
158,0.7019998525704096,0.9082
159,0.7011492799311532,0.9097
160,0.7000386488756186,0.9085
161,0.7000996195759431,0.9072
162,0.6985862554249216,0.9087
163,0.6979989661590215,0.908
164,0.6965061204575737,0.909
165,0.6963431105336616,0.9093
166,0.6950596924784658,0.9082
167,0.6945838926592663,0.9093
168,0.6934963678836736,0.9088
169,0.692969329658444,0.909
170,0.6915765382993216,0.9099
171,0.6911927453481146,0.9091
172,0.6900075039506052,0.9094
173,0.6896577966769921,0.9084
174,0.6887489657154217,0.9095
175,0.6877445674419421,0.9091
176,0.6873373843515111,0.9084
177,0.6859725022376317,0.9104
178,0.6853781972748608,0.9101
179,0.6845341688142671,0.9101
180,0.6832938129414693,0.9095
181,0.6835650082511259,0.9089
182,0.6820573537135324,0.9093
183,0.6809923048559322,0.9096
184,0.6803458924746874,0.9089
185,0.679924348021873,0.909
186,0.678780104837199,0.9083
187,0.6780308429616244,0.9089
188,0.6770310431485743,0.9104
189,0.6763832856816893,0.9097
190,0.67564577351252,0.9095
191,0.6749909055146212,0.9091
192,0.6739777383373653,0.9109
