# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.05
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,1.0483235506243356,0.8174
2,0.8110062710806432,0.8469
3,0.7199957011844409,0.855
4,0.6708906034400586,0.8659
5,0.6416936090388166,0.8724
6,0.6236062586081113,0.8767
7,0.6093612682839563,0.8808
8,0.5994110783622286,0.8829
9,0.5919221715087357,0.8848
10,0.5877904104513265,0.8864
11,0.5828998244179155,0.888
12,0.5799930591731197,0.889
13,0.578072497903845,0.8907
14,0.5761321374318225,0.8919
15,0.5723439815931114,0.8944
16,0.571567665728676,0.893
17,0.570288347092517,0.8953
18,0.5698366215268991,0.8964
19,0.5687509675180404,0.8976
20,0.5676441884344328,0.898
21,0.5675579790489363,0.8959
22,0.5670502920784639,0.8968
23,0.5677323072691746,0.8982
24,0.5659102666538027,0.8981
25,0.5655579712079407,0.8982
26,0.5653009508003701,0.8973
27,0.5663761794253755,0.9001
28,0.5657658545844922,0.8995
29,0.5665548113810807,0.8983
30,0.5635923186905649,0.901
31,0.5635257495796124,0.9014
32,0.5653663944192099,0.9018
33,0.5645625197017221,0.901
34,0.5642044265037193,0.9002
35,0.5627599375208471,0.9012
36,0.5632922252892552,0.9001
37,0.5632370174481715,0.901
38,0.5633840911867272,0.9016
39,0.5626396525936563,0.9019
40,0.5618280441864257,0.902
41,0.5614857668478543,0.9012
42,0.5618424570984167,0.9019
43,0.5619235504189257,0.9012
44,0.5629420653788572,0.9036
45,0.5629930738462958,0.9022
46,0.5627677312290881,0.9017
47,0.5640726442799772,0.9006
48,0.5642369487676474,0.9
49,0.5631316316533129,0.901
50,0.563312164004472,0.9016
51,0.5623387785649617,0.9028
52,0.5624408943319817,0.9017
53,0.5634537870728047,0.9015
54,0.5628642506615487,0.9013
55,0.5635094763476226,0.9014
56,0.5628852821020451,0.9009
57,0.5620768632575986,0.901
58,0.5626051108170517,0.9012
59,0.5627101516345846,0.8998
60,0.5622410087691485,0.9021
61,0.5625751544010295,0.901
62,0.5645693732181664,0.9002
63,0.5635150779445776,0.901
