# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.001
participation_rate: 0.3
num_classes: 10
lambda: 0.01
participation_rate: 0.3
num_classes: 10
# Results:

round,obj,test
1,1.9727006052371308,0.3912
2,1.809380064088127,0.2929
3,1.6766437040391404,0.4558
4,1.532765954249875,0.5343
5,1.5655192204229544,0.5269
6,1.4763181810775994,0.6438
7,1.44835974327897,0.6929
8,1.4735827568510205,0.6518
9,1.5251651543396134,0.6027
10,1.48412403988069,0.6772
11,1.4585738796584635,0.7016
12,1.6292509295305153,0.4349
13,1.5076830295286103,0.5776
14,1.6812276163767905,0.4995
15,1.5644038131156843,0.6064
16,1.519465102729265,0.6149
17,1.5534246541322683,0.6284
18,1.5515149843039417,0.6102
19,1.630988154166307,0.5487
20,1.6272873234521625,0.5336
21,1.5602338956874422,0.6574
22,1.6514916341291335,0.5552
23,1.6204722364059814,0.5495
24,1.5758972108994291,0.7028
25,1.5656784250924571,0.7481
26,1.7463738044039916,0.4739
27,1.6227943709880062,0.6684
28,1.700247004360905,0.5406
29,1.627434027580802,0.6587
30,1.6430050887423113,0.6491
31,1.6102932663974485,0.7211
32,1.624192558242054,0.6773
33,1.6172765635906188,0.688
34,1.6322090206083175,0.7185
35,1.6616913108154878,0.6757
36,1.6353630638679628,0.7307
37,1.7480356759847833,0.5978
38,1.7646253867617678,0.5262
39,1.7764311359382623,0.4819
40,1.6733852156336946,0.6605
41,1.6798424337490547,0.7061
42,1.6999356378991732,0.6695
43,1.787616561692442,0.5826
44,1.7668478888843682,0.5394
45,1.7637433857220548,0.577
46,1.7394086655497265,0.7241
47,1.7349292209320573,0.6026
48,1.6923620274064934,0.7112
49,1.674536025120031,0.7505
50,1.706207126635244,0.7296
51,1.729213609344879,0.6957
52,1.7029097335531325,0.7112
53,1.7049574211401035,0.6942
54,1.6849831261204054,0.7162
55,1.6981832171541635,0.7405
56,1.75306461004572,0.6357
57,1.7564022089517888,0.582
58,1.6999941929169753,0.7308
59,1.7727127704217405,0.6462
60,1.7199784330842554,0.722
61,1.7302858851742233,0.6976
62,1.7211640139645739,0.7045
63,1.725655780079623,0.6947
64,1.7218054298988545,0.7173
65,1.7175732615234833,0.7541
66,1.7985018044840486,0.6263
67,1.7467869215352494,0.6985
68,1.765319340686812,0.682
69,1.7914200539102665,0.6766
70,1.796601605849833,0.6543
71,1.8646830816934887,0.5513
72,1.7772094484268421,0.6214
73,1.721390754866803,0.7569
74,1.838160427660678,0.6039
75,1.7373102889725887,0.7164
76,1.7918382526065824,0.6109
77,1.7555736038492924,0.6498
78,1.7458264656271267,0.6909
79,1.7426019306522844,0.6962
80,1.7228721662742013,0.7345
81,1.7530562055426882,0.6818
82,1.702975416405277,0.8023
83,1.787427689815116,0.6791
84,1.7558787837064476,0.7004
85,1.7764420801511505,0.6407
86,1.781740654319839,0.6113
87,1.7582481170364785,0.6899
88,1.7539745300571956,0.6839
89,1.720039130182631,0.7484
90,1.7779342451598674,0.6584
91,1.856655895769494,0.5548
92,1.7367995705283492,0.7473
93,1.7136903806939094,0.7597
94,1.7561820326562183,0.7142
95,1.7280090965216075,0.739
96,1.709694633590014,0.8105
97,1.7931357363319484,0.6411
98,1.8374633751351237,0.5908
99,1.7530415405889963,0.7033
100,1.7263113678217274,0.7573
101,1.8008756625714317,0.5952
102,1.7891521502082934,0.6107
103,1.7198535564190027,0.7918
104,1.773117060569906,0.6772
105,1.790467607292036,0.6448
106,1.782172713512159,0.6427
107,1.724348442462639,0.7395
108,1.7405927014350524,0.7416
109,1.7654444908088633,0.6932
110,1.716358694614094,0.7935
111,1.7509969944302874,0.7026
112,1.793711905478482,0.6415
113,1.7183573373864718,0.769
114,1.7107497622580516,0.7968
115,1.711192014864634,0.7918
116,1.7201175619980043,0.7348
117,1.7601804891887403,0.6891
118,1.7368430185714634,0.7684
119,1.711649470950272,0.7684
120,1.732828675724758,0.7186
121,1.7513051022573944,0.6724
122,1.715561658749875,0.7572
123,1.7567711429410353,0.6869
124,1.7999343130722152,0.6313
125,1.7200461898210155,0.7993
126,1.7797266051491103,0.6693
127,1.71179824766647,0.7837
128,1.7085932677032352,0.777
129,1.761448291077808,0.6859
130,1.769642922273027,0.7138
131,1.7374654652065955,0.7486
132,1.7893916928266977,0.6037
133,1.7614424093421939,0.7008
134,1.7687068877813248,0.6787
135,1.8066747534633707,0.6174
136,1.7806372668744725,0.6801
137,1.7651930421403392,0.6934
138,1.7939925461147654,0.6678
139,1.7617001529764829,0.7381
140,1.7643121912359316,0.7254
141,1.7480659011021666,0.7257
142,1.7361286278583532,0.7574
143,1.7371090370289284,0.7432
144,1.7584289590343796,0.7302
145,1.7267184024643238,0.7362
146,1.7605868580790156,0.7571
147,1.6965244441060379,0.8151
148,1.8112080005241618,0.6357
149,1.750938846600946,0.7484
150,1.8089996620494693,0.6512
151,1.72626667206693,0.7321
152,1.7162248336479637,0.7937
153,1.7204913229272332,0.8196
154,1.7633185169136716,0.7164
155,1.7888478810616366,0.6757
156,1.8201406601096106,0.6687
157,1.730622603617219,0.7795
158,1.8492037601721185,0.5937
159,1.7350454100731392,0.7976
160,1.7473819688294645,0.7544
161,1.7689950966450396,0.7263
162,1.7410603854586582,0.7559
163,1.784630229180309,0.6595
164,1.7336321333645155,0.7593
165,1.741495058820292,0.7456
166,1.7627458169117975,0.7067
167,1.7629191056791929,0.7123
168,1.720952148663505,0.8049
169,1.8661168976279379,0.6018
170,1.8334501474185412,0.6322
171,1.7678234235604464,0.7198
172,1.8162740080512514,0.6728
173,1.7931875380679823,0.6592
174,1.746683055745753,0.7782
175,1.7683109920513762,0.7343
176,1.7361795712494383,0.8244
177,1.7682246094080276,0.7264
178,1.781194103664072,0.6847
179,1.7738436897976255,0.7178
180,1.8060530928395464,0.6542
181,1.773188247248731,0.7312
182,1.7796730971597532,0.7111
183,1.8364279273203952,0.5925
184,1.7696918058220987,0.7327
185,1.7643074498933298,0.7382
186,1.7954518322458375,0.7124
187,1.8107709148710434,0.6654
188,1.7400226743809746,0.815
189,1.8012177908356433,0.694
190,1.7911537287802912,0.7049
191,1.8038367030526634,0.6809
192,1.8000741186576465,0.7141
193,1.7708428585425184,0.7744
194,1.7754243549823947,0.7338
195,1.7863602650406938,0.7375
196,1.8032851847935325,0.7111
197,1.7960543651997591,0.7382
198,1.7758871461387544,0.742
199,1.8404273294261209,0.6683
200,1.7865157082557739,0.741
201,1.7870990042720123,0.736
202,1.8007189659946177,0.7098
203,1.9326034276277482,0.5201
204,1.8699411938115869,0.6062
205,1.8533395011507996,0.663
206,1.8609582789620538,0.6143
207,1.8094794479038374,0.6949
208,1.8098908556999513,0.7078
209,1.7994838484680231,0.7234
210,1.8049535221776132,0.7205
211,1.8203093068312206,0.7127
212,1.8155690804315496,0.6836
213,1.7772347017189811,0.7865
214,1.8012920590915202,0.6937
215,1.7867063945849884,0.7314
216,1.841778410538232,0.655
217,1.8172216577557005,0.7038
218,1.9161974911814192,0.5676
219,1.7971708458972941,0.7213
220,1.7805585975696894,0.7715
221,1.836344211715162,0.6751
222,1.8024917641935898,0.6783
223,1.8060341643798348,0.6865
224,1.8183734424562452,0.7411
225,1.7743471633114685,0.7717
226,1.7736266382491641,0.782
227,1.8599083529672487,0.6366
228,1.7901980966019453,0.7558
229,1.7902078897844866,0.7361
230,1.8229881056991588,0.6346
231,1.834930445576611,0.7425
232,1.8231311501939993,0.6717
233,1.8188717823822036,0.6472
234,1.8159735551782705,0.6306
235,1.8091199667448392,0.6678
236,1.7970201237479486,0.7209
237,1.7940474573688414,0.6662
238,1.8549031489104182,0.6123
