# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.1
participation_rate: 0.3
num_classes: 10
lambda: 0.01
participation_rate: 0.3
num_classes: 10
# Results:

round,obj,test
1,2.1125081398805867,0.4904
2,1.681811223097388,0.6542
3,1.471165920431706,0.7042
4,1.2736999188096079,0.7664
5,1.1424296180798557,0.7914
6,1.0814197125889076,0.7973
7,0.9868342626646154,0.8389
8,0.944089074411217,0.8411
9,0.8911854209124327,0.8581
10,0.8697530436509643,0.8504
11,0.8299034543777865,0.8668
12,0.8076553397700083,0.8648
13,0.7741728362878213,0.8757
14,0.7950778184242704,0.8527
15,0.7487023377419998,0.8755
16,0.7367625724191291,0.878
17,0.7325733504146636,0.8691
18,0.6974741450273035,0.8888
19,0.7095004287209318,0.8751
20,0.6960339359787227,0.8812
21,0.6787572946475966,0.8882
22,0.691425058748677,0.8727
23,0.6682084626312906,0.8876
24,0.6609693147703418,0.8872
25,0.6532465719287738,0.8903
26,0.6786270538260444,0.8711
27,0.6517028793995089,0.8881
28,0.6559945548228103,0.8843
29,0.6549015547155154,0.8872
30,0.6583454561244863,0.8848
31,0.6543850415954562,0.8878
32,0.6773134877485048,0.8682
33,0.6642856254337398,0.8735
34,0.6537793937919781,0.8856
35,0.6667409650498243,0.8798
36,0.6617963564699985,0.886
37,0.6632313084734717,0.8822
38,0.6833091908099345,0.8787
39,0.6707281056093864,0.8832
40,0.6881048694078405,0.88
41,0.6970745804015074,0.8728
42,0.6869117334428446,0.8882
43,0.681099751583072,0.8911
44,0.6928710726160521,0.8761
45,0.6841105663226958,0.8816
46,0.678293389623787,0.8889
47,0.6624700499492818,0.8927
48,0.6534489582189106,0.8889
49,0.6565282604265895,0.8834
50,0.6388640979754946,0.8946
51,0.6302602342370284,0.8928
52,0.6341782042593345,0.8903
53,0.6365741840089814,0.8858
54,0.6287647029200445,0.8929
55,0.6312729733548436,0.8894
56,0.6220241112658491,0.8945
57,0.6173901774029035,0.8941
58,0.6129354821601627,0.897
59,0.617367280641495,0.8909
60,0.6092130353495465,0.8955
61,0.6273113762486725,0.8848
62,0.616597325954973,0.8904
63,0.610925638326964,0.8977
64,0.613069810682798,0.8963
65,0.6343904824569585,0.8865
66,0.6252375573765603,0.8929
67,0.6416105943850703,0.8887
68,0.633920872370718,0.8921
69,0.6357342743696449,0.8891
70,0.6276960088116574,0.9017
71,0.639401620356244,0.8892
72,0.6270992463965138,0.8952
73,0.6405210438931528,0.8869
74,0.6317430733229376,0.8909
75,0.6255070420149866,0.8965
76,0.6384586373932001,0.8855
77,0.6233632873817023,0.8951
78,0.6367005079111641,0.8939
79,0.6370800469164701,0.8874
80,0.6249418107292349,0.8927
81,0.6148936460011464,0.8984
82,0.6175202540757777,0.8952
83,0.6121360976483514,0.8951
84,0.6037233291790193,0.899
85,0.6124829373627266,0.8925
86,0.5934721316741223,0.9007
87,0.6119348685550022,0.8889
88,0.6117551251842,0.8931
89,0.6073344652811057,0.897
90,0.6165448407503237,0.8959
91,0.6101306327969582,0.9013
92,0.6211914942903151,0.895
93,0.6276896705346965,0.8933
94,0.6120308481544143,0.9032
95,0.6256554415274053,0.8959
96,0.6245089775217515,0.8985
97,0.6259212562101408,0.8975
98,0.62257172293912,0.9014
99,0.6321110663190007,0.8909
100,0.6114324763685225,0.9026
