# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.01
participation_rate: 0.3
num_classes: 10
lambda: 0.01
participation_rate: 0.3
num_classes: 10
# Results:

round,obj,test
1,1.965644923934451,0.3045
2,1.7250679125937431,0.3177
3,1.613445400900737,0.4127
4,1.6940630910372694,0.302
5,1.5617893647697967,0.3946
6,1.6194638645869999,0.375
7,1.4571781348686046,0.453
8,1.3761526592334807,0.541
9,1.3502564258157224,0.6378
10,1.3215959219245879,0.6422
11,1.3755029642473968,0.5111
12,1.3004669057340135,0.6213
13,1.3342641542240794,0.5955
14,1.3361028608264196,0.5967
15,1.3201582164385939,0.6164
16,1.3782509348655645,0.6144
17,1.487610157210809,0.4899
18,1.3513963840316499,0.5979
19,1.3271545796603872,0.5962
20,1.3337550164556975,0.6262
21,1.2790222054981426,0.6722
22,1.3587939803843117,0.6009
23,1.2872336881894317,0.6251
24,1.2654635078127323,0.6824
25,1.2786383081161747,0.6788
26,1.311477835904674,0.6348
27,1.272932418389269,0.6874
28,1.3051178926675062,0.6591
29,1.2900779192105818,0.6721
30,1.3702481114821365,0.6306
31,1.30933153175315,0.7022
32,1.3331905376750208,0.6546
33,1.3161686717222472,0.6879
34,1.3685354353337416,0.6184
35,1.4086729796747843,0.6329
36,1.3941995357380677,0.6618
37,1.37326238827287,0.6816
38,1.3706178443377268,0.6715
39,1.3171115502447395,0.7482
40,1.3490738765922246,0.7081
41,1.3543413924124084,0.7062
42,1.4737374899068354,0.601
43,1.4274697579701268,0.622
44,1.3927387353116945,0.6771
45,1.4124197362202946,0.6646
46,1.4192933774106082,0.6889
47,1.4504267864374918,0.6304
48,1.3997706617298418,0.69
49,1.4229952001283876,0.6963
50,1.460212047988299,0.6915
51,1.4133997688437931,0.7085
52,1.4344557900301123,0.6782
53,1.4309892868685252,0.6939
54,1.4434883624368282,0.7012
55,1.4563923815670425,0.6714
56,1.4815615277802612,0.6543
57,1.4363077386638923,0.71
58,1.4204670055604527,0.7426
59,1.4382974058407771,0.7043
60,1.457106423721054,0.6997
61,1.4804084854498065,0.6914
62,1.517594183800466,0.6582
63,1.4194960201856894,0.7532
64,1.4666678049087765,0.6629
65,1.4959521378647231,0.6509
66,1.4450357438936436,0.7049
67,1.4416274015082102,0.7137
68,1.42243483921616,0.7425
69,1.4827945109615923,0.6839
70,1.4612903205149395,0.7124
71,1.4748131289486166,0.7
72,1.5084159684652834,0.6558
73,1.45664610412864,0.6848
74,1.482792527051538,0.6689
75,1.4379743277200934,0.7336
76,1.416308176422798,0.7505
77,1.461159347050515,0.6986
78,1.411108762141495,0.7486
79,1.4544423924683259,0.6963
80,1.4326064363068411,0.7167
81,1.435983531939328,0.7103
82,1.4260359096029758,0.7177
83,1.4136366987625943,0.713
84,1.3698233644800588,0.7594
85,1.4320534817130264,0.662
86,1.4082653365658317,0.7114
87,1.451893433163155,0.6837
88,1.3546964619793875,0.7625
89,1.4225833560349102,0.7097
90,1.42628458781913,0.68
91,1.4127040506381905,0.7157
92,1.4326618478627842,0.6868
93,1.370617640129952,0.7478
94,1.4079231603537334,0.7108
95,1.416691902924632,0.6775
96,1.3678117808294727,0.7371
97,1.4124346341122216,0.7031
98,1.4116316063158547,0.6812
99,1.3884729443360517,0.6903
100,1.352202177284737,0.7322
