# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 1
learning_rate: 0.01
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,2.714439635314265,0.0896
2,2.6735921276505805,0.1044
3,2.6302214870165472,0.1356
4,2.5942529608918057,0.1675
5,2.560796861096307,0.2052
6,2.5242176787302584,0.23
7,2.493424293571727,0.2557
8,2.463051079143193,0.2708
9,2.430324586960722,0.2969
10,2.3952960833280845,0.3261
11,2.364368145249813,0.3509
12,2.3304958390121207,0.3758
13,2.3000117083177667,0.403
14,2.2666657688462304,0.4202
15,2.232011873545254,0.4361
16,2.196400798779856,0.4435
17,2.166541455444209,0.4671
18,2.138342972796205,0.4905
19,2.1088263383395476,0.506
20,2.079439618357066,0.5217
21,2.0501431090813953,0.5269
22,2.021697363483337,0.5404
23,1.9953867398487932,0.549
24,1.9690914989977675,0.5643
25,1.9448353989465756,0.5765
26,1.916651029106595,0.6004
27,1.8913749932876727,0.612
28,1.8621813928295867,0.6245
29,1.8422159308509043,0.6256
30,1.8189780297015046,0.6288
31,1.7961995941793023,0.6293
32,1.77302288955586,0.6351
33,1.751832304065311,0.6361
34,1.7312693948543885,0.637
35,1.715176241995194,0.6361
36,1.6979058797933135,0.6336
37,1.6792637717076206,0.6412
38,1.6621745063326954,0.6462
39,1.6390423589153686,0.6617
40,1.6253192323631203,0.6557
41,1.6094699954470055,0.661
42,1.591045848257454,0.6654
43,1.5727476472241584,0.6776
44,1.5560376359875998,0.6842
45,1.5429549943558836,0.6736
46,1.5256192793610945,0.6864
47,1.5118428523263052,0.6896
48,1.5019526650646748,0.6832
49,1.484277695858914,0.6916
50,1.4689208822382271,0.7026
51,1.4577494395967212,0.702
52,1.4460221261419561,0.7013
53,1.4323371300959966,0.7053
54,1.4230378915282258,0.7028
55,1.4089714670013072,0.7074
56,1.3974331450861588,0.7117
57,1.391933205853982,0.7067
58,1.383678942291946,0.7049
59,1.3767706812392486,0.7018
60,1.3643105347424214,0.7132
61,1.3513957372442658,0.7255
62,1.3353796544950816,0.7389
63,1.3236176036449427,0.7418
64,1.3155007266867027,0.7376
65,1.3078601603505216,0.7377
66,1.3000544053251506,0.7409
67,1.2936700651515163,0.7399
68,1.2839718371608542,0.7418
69,1.280437011175262,0.7358
70,1.2685701185526561,0.7467
71,1.2621976436563362,0.747
72,1.256712166768719,0.7442
73,1.2506561459045893,0.7387
74,1.2443087974823175,0.7436
75,1.2431450702454598,0.7336
76,1.2392494432801309,0.7275
77,1.2295744330860807,0.7347
78,1.2275878619296392,0.7261
79,1.218588622495119,0.7358
80,1.2134865219923139,0.7384
81,1.2067576378075138,0.7395
82,1.2021518042038295,0.7402
83,1.2018444404248634,0.7306
84,1.1891833484604364,0.7423
85,1.1793759115117344,0.7585
86,1.1756822005297651,0.7583
87,1.1694580529221892,0.7599
88,1.1638213860703233,0.7602
89,1.157209047701746,0.7604
90,1.156626814573949,0.7596
91,1.1495148571312592,0.7609
92,1.1485036948897556,0.7578
93,1.137781256141739,0.7663
94,1.1325819432249142,0.7645
95,1.1285306139579854,0.7634
96,1.1250207715695848,0.7661
97,1.1236699770296747,0.7633
98,1.1229943482901517,0.7607
99,1.1202769553780476,0.7594
100,1.1187950804853037,0.7553
