# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.0
num_classes: 10
# Results:

round,obj,test
1,1.949748107766216,0.3875
2,1.662924412648159,0.5753
3,1.4419667051153913,0.7165
4,1.2958834137167785,0.7219
5,1.211517839502466,0.7107
6,1.1330277610493222,0.7647
7,1.0239989018729299,0.8108
8,0.9751082178543884,0.8202
9,0.9372183591956587,0.8434
10,0.9502883235182439,0.7764
11,0.8894201189685036,0.8233
12,0.8724656882101717,0.8357
13,0.9020092488260075,0.7763
14,0.836516017740084,0.8193
15,0.8270944451785489,0.8199
16,0.8237050621633943,0.8171
17,0.8167168919964816,0.8078
18,0.7953485786961938,0.8403
19,0.7900231943892914,0.844
20,0.8030285116944227,0.8234
21,0.8289626049032294,0.795
22,0.7472770968390161,0.8613
23,0.7524715119846144,0.8541
24,0.7473841949904065,0.8412
25,0.7602476021285424,0.8399
26,0.7665643256580827,0.8309
27,0.7608609453528273,0.8444
28,0.7473945495825601,0.8487
29,0.7356738227751439,0.8604
30,0.7466816189684825,0.8565
31,0.7304294953579269,0.8669
32,0.7522395305320353,0.8446
33,0.7248535157492254,0.865
34,0.7437782810125801,0.8468
35,0.7315771089784167,0.8598
36,0.7178707619132647,0.8493
37,0.711231357938556,0.8657
38,0.7069564932918259,0.8743
39,0.715205362368252,0.8639
40,0.7270096013102302,0.8496
41,0.7219835616400365,0.8608
42,0.7662324904653086,0.8201
43,0.7096438521734055,0.8685
44,0.7005826564827948,0.8784
45,0.716832440750917,0.8601
46,0.7273196677197381,0.8544
47,0.7609780173706621,0.8281
48,0.727344574947477,0.8584
49,0.7219114352190613,0.8541
50,0.7509926508919045,0.8296
51,0.7077375523892678,0.8709
52,0.7323024435535842,0.8447
53,0.7218069583527945,0.8531
54,0.71649584550244,0.8551
55,0.7295122059451264,0.8525
56,0.757615755065176,0.8265
57,0.70828400474046,0.8681
58,0.7068007907953484,0.8665
59,0.7198707941356767,0.8526
60,0.7309128266543453,0.839
61,0.733326818238259,0.83
62,0.6908344024349253,0.8687
63,0.7061443150327292,0.8531
64,0.7123240634572551,0.8492
65,0.7142778004807626,0.8568
66,0.6992067334851791,0.8711
67,0.6938535496096879,0.876
68,0.705425833133231,0.8619
69,0.7070525824408287,0.863
70,0.7462052577055256,0.8336
71,0.7065429130092361,0.873
72,0.7031387268616657,0.8772
73,0.6944910693266236,0.8806
74,0.724136174482704,0.8416
75,0.7059161064665095,0.864
76,0.733772480879235,0.8431
77,0.7207585816401243,0.858
78,0.7483451071724444,0.8318
79,0.7180345087351595,0.853
80,0.7024715974852253,0.8685
81,0.7032744007079411,0.8721
82,0.7057531758154525,0.8688
83,0.7044803548163943,0.8629
84,0.6908413400784829,0.8796
85,0.709399492521059,0.8503
86,0.6874908905855537,0.8757
87,0.7132877685327771,0.8592
88,0.7074139356197956,0.8633
89,0.6869677738436567,0.8708
90,0.6960021026085588,0.8683
91,0.6806334242858213,0.883
92,0.6963753723044533,0.8744
93,0.7001190140403685,0.8779
94,0.7033884221938208,0.863
95,0.7347936310895166,0.8386
96,0.7338820699816617,0.8408
97,0.718973943399145,0.8606
98,0.6966068777569946,0.8736
99,0.7366446630423854,0.8358
100,0.7187267996837094,0.8554
