# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.01
participation_rate: 0.3
num_classes: 10
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,2.3056939827004492,0.309
2,2.0727398400711685,0.3483
3,1.8258543337509092,0.3989
4,1.6777001545872967,0.5382
5,1.4915581932129949,0.6199
6,1.4930650442371092,0.531
7,1.386804203805123,0.6564
8,1.392542862362376,0.6302
9,1.335426224029369,0.6865
10,1.3344360029818372,0.7268
11,1.3484891337539462,0.7252
12,1.338164908950341,0.6906
13,1.3072874966462136,0.6843
14,1.2760678763343938,0.7319
15,1.2561292312349774,0.7188
16,1.3545350119437776,0.6142
17,1.2338396288456988,0.7536
18,1.2968569135229002,0.665
19,1.2392949204360155,0.7182
20,1.3772117458106141,0.5773
21,1.212023429549705,0.7833
22,1.1943654355662974,0.7913
23,1.2414289852876166,0.7183
24,1.3150270043791878,0.6392
25,1.237826133349994,0.7403
26,1.3556991593372396,0.5965
27,1.2794936094074854,0.6788
28,1.2261611335001552,0.7576
29,1.2003510950735083,0.7884
30,1.266286096804614,0.6893
31,1.215734380657711,0.7764
32,1.245899550255624,0.7178
33,1.2055052508330377,0.7826
34,1.2492578605169442,0.7393
35,1.2767755244791534,0.6989
36,1.2290501026363294,0.7617
37,1.2577053154009772,0.7306
38,1.233143282427966,0.7772
39,1.265299028982092,0.7332
40,1.3078655188119381,0.7002
41,1.2859388149012003,0.7264
42,1.2764634842758187,0.777
43,1.3349284549109794,0.704
44,1.2693405122085253,0.7862
45,1.2549737329906905,0.8044
46,1.2607868671019482,0.7932
47,1.2809896561947864,0.7625
48,1.304450019564989,0.7473
49,1.2735755622214302,0.7897
50,1.2716403131641079,0.7946
51,1.3430791939337854,0.7273
52,1.2933064011954147,0.7999
53,1.2801578539266238,0.8134
54,1.3291732434434333,0.7584
55,1.3005106696403301,0.8016
56,1.2934974617217352,0.8103
57,1.3876551021053238,0.7386
58,1.3133037937127099,0.8302
59,1.3250283090373578,0.7991
60,1.3067417644627974,0.8306
61,1.3172810033544127,0.8092
62,1.3385892392450836,0.7895
63,1.3274148767457081,0.8085
64,1.322409754574185,0.8266
65,1.3668657675442215,0.7676
66,1.3146123580826536,0.8596
67,1.3465533024824785,0.819
68,1.3611844706494622,0.8023
69,1.3925326999558683,0.772
70,1.3571951182441728,0.8229
71,1.3533228206702286,0.8415
72,1.3881316296760826,0.7989
73,1.3608107536848446,0.8434
74,1.396142791457883,0.7986
75,1.404975103621798,0.7936
76,1.376313953579055,0.8348
77,1.3857893020959626,0.8186
78,1.4127538257143657,0.7937
79,1.3772975226124373,0.8362
80,1.4106694455050186,0.8106
81,1.3851460644981608,0.8384
82,1.4298742637679827,0.795
