# Configuration:

dataset name: mnist
model name: softmax classification with MLP
decay_rate: 0.0
num_clients: 100
learning_rate: 0.1
participation_rate: 0.3
num_classes: 10
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,2.5041930138066704,0.2644
2,2.144757783354391,0.4052
3,1.9145880688208436,0.4814
4,1.6967105957732451,0.606
5,1.5055646674002667,0.6772
6,1.3840411006233264,0.694
7,1.2778695357207024,0.7578
8,1.2093495104711514,0.7768
9,1.1525294389083058,0.7765
10,1.0810920798784807,0.8278
11,1.0573376800915952,0.8094
12,0.9983593555887897,0.834
13,0.9872974923817522,0.825
14,0.9659280850599338,0.8267
15,0.9211373821873297,0.8439
16,0.9152461624726261,0.8373
17,0.8850989462489722,0.8479
18,0.8514255046143497,0.8669
19,0.8351435045175131,0.8607
20,0.8341059082570836,0.8545
21,0.8673335834552452,0.8207
22,0.8018761793404603,0.864
23,0.8003104531380455,0.8633
24,0.7770419003875683,0.8741
25,0.7777045728351759,0.8664
26,0.7621680832916976,0.8709
27,0.7488957219162797,0.876
28,0.7386354117439262,0.8794
29,0.7584859122159137,0.8571
30,0.7526344146771129,0.8574
31,0.7183493652615809,0.8799
32,0.7121843330818842,0.88
33,0.707223773166058,0.8848
34,0.7142413794431497,0.8731
35,0.7025206993573447,0.8787
36,0.7035146652513795,0.8755
37,0.6995302256605327,0.874
38,0.684134793572686,0.8822
39,0.6700519637451928,0.8903
40,0.6725419686488947,0.8871
41,0.669532601775014,0.8864
42,0.6684554017161624,0.8848
43,0.6660349196546962,0.8858
44,0.6604044060597306,0.889
45,0.6537495612303107,0.8921
46,0.6514211649981662,0.8904
47,0.658112944300807,0.8845
48,0.6463984206661696,0.8906
49,0.6557388948750317,0.8845
50,0.6436069581281719,0.8907
51,0.6403362746893929,0.89
52,0.6383749067166988,0.8898
53,0.6438455194999289,0.8856
54,0.6443981117960317,0.8871
55,0.6361842807766235,0.8921
56,0.6379244321497597,0.8937
57,0.6426501854659198,0.8897
58,0.6426225748002106,0.8937
59,0.6466348656344341,0.8947
60,0.6738633397273823,0.8774
61,0.6654101632716103,0.8891
62,0.6756105858050865,0.8903
63,0.6832115621922107,0.8906
64,0.683513551078946,0.8913
65,0.7081139313679404,0.8854
66,0.7071632409007274,0.8849
67,0.7244906646353386,0.8693
68,0.7126022521882232,0.8749
69,0.7039181495463293,0.8818
70,0.6875173609926226,0.8874
71,0.7041197999651824,0.8756
72,0.6822252624691828,0.8871
73,0.68869027604036,0.8829
74,0.6782504529968524,0.8882
75,0.6695597189238915,0.8897
76,0.6800999665291108,0.8789
77,0.6504589214416833,0.8949
78,0.6563493126229428,0.8903
79,0.6486605261419113,0.8899
80,0.6509447172555566,0.8868
81,0.6334227089046168,0.895
82,0.6330922875391514,0.8923
83,0.627546998620874,0.8926
84,0.6262256899421597,0.892
85,0.6183771639766998,0.8948
86,0.6143099610673907,0.8954
87,0.6115992231237023,0.8918
88,0.6100580090991284,0.8921
89,0.5989866636326981,0.8969
90,0.6039722046605543,0.8929
91,0.6035675751466469,0.8937
92,0.6131726086907258,0.8893
93,0.606018133860779,0.8957
94,0.6061557543607513,0.8949
95,0.607037389965154,0.8973
96,0.6041422410487982,0.8999
97,0.6070122912995234,0.8956
98,0.6053605658116799,0.8968
99,0.6110137018682662,0.895
100,0.607926348100732,0.9002
