# Configuration:

dataset name: covtype
model name: softmax classification
num_clients: 100
learning_rate: 0.99
participation_rate: 0.3
num_classes: 10
learning_rate: 0.001
lambda: 0.01
participation_rate: 0.3
mu: 0
num_classes: 10
# Results:

round,obj,test
1,1.8047031627628185,0.3898
2,1.7158096831923313,0.528
3,1.5967475801431774,0.5087
4,1.5446853129622464,0.4737
5,1.4440075384852284,0.5537
6,1.3839230453911577,0.5445
7,1.4420108259874846,0.5008
8,1.4316391832643776,0.5422
9,1.2144983988009281,0.7855
10,1.2827868809485616,0.5768
11,1.125393210264754,0.7741
12,1.1888633656515044,0.7461
13,1.1396189311527993,0.7052
14,1.071225709202814,0.78
15,1.117474845739536,0.6864
16,1.0105439919496935,0.8061
17,1.041343577193559,0.7709
18,1.0090779718032483,0.7753
19,0.961749356918767,0.8372
20,1.0097710246899207,0.7447
21,0.9921796361036429,0.7571
22,0.9687808033196796,0.783
23,0.9629652483324824,0.7455
24,0.9066066174329531,0.8255
25,0.9201699970472744,0.8176
26,0.8885026525130081,0.8295
27,0.8660427634729689,0.8492
28,0.9051430418312465,0.7978
29,0.8776246214422476,0.8335
30,0.9148407954248781,0.7738
31,0.8944760285141493,0.8054
32,0.8744453112829192,0.8125
33,0.8565134700592044,0.8366
34,0.9149086128190298,0.7441
35,0.8562620428572608,0.8172
36,0.8310406293495982,0.8434
37,0.8415967702511441,0.8298
38,0.8384866468484987,0.8265
39,0.796276607706028,0.8647
40,0.8192421638253088,0.8376
41,0.824065248063748,0.832
42,0.8215505653792666,0.8215
43,0.8038299908249272,0.8385
44,0.8137270001110835,0.8228
45,0.8666742700813153,0.7751
46,0.7815529567703248,0.8617
47,0.7786635841537041,0.8556
48,0.7868760802928162,0.838
49,0.8288674459715343,0.8069
50,0.774069767061332,0.8536
51,0.7839778199559475,0.8491
52,0.7736735446690381,0.8432
53,0.7801647725719638,0.8417
54,0.757603742624388,0.8625
55,0.7585787684923808,0.8621
56,0.7570686282072846,0.8593
57,0.7545953612819281,0.8604
58,0.7669740688743321,0.8569
59,0.7501712465631067,0.8604
60,0.7471438430486893,0.8646
61,0.7478834304197322,0.8591
62,0.7693444938031544,0.826
63,0.767487891817501,0.8369
64,0.7592536634305452,0.8398
65,0.7521406529666859,0.8481
66,0.737913073377798,0.8636
67,0.7340733211750745,0.8676
68,0.7228247646952229,0.8789
69,0.7417180793840218,0.8599
70,0.7332764142300819,0.8608
71,0.7265334674230554,0.8646
72,0.7225340846781408,0.8713
73,0.7372730745929383,0.855
74,0.7196688290596912,0.8708
75,0.7202303603915372,0.871
76,0.7379543744777313,0.853
77,0.7338274655426267,0.858
78,0.7130360456874849,0.8769
79,0.7137487082985045,0.8659
80,0.7386016673689194,0.8535
81,0.7394291328424901,0.8482
82,0.7224342353100329,0.8649
83,0.7149333795272854,0.87
84,0.7056587638316201,0.8729
85,0.71192361255365,0.8658
86,0.7021690018473684,0.8734
87,0.715171884594002,0.866
88,0.7534882847192667,0.8329
89,0.7262012413765411,0.8488
90,0.7226152796615921,0.8526
91,0.707443966080705,0.8678
92,0.7187599871369585,0.8535
93,0.7240562894734454,0.853
94,0.7106040503913418,0.8597
95,0.6910015093492201,0.8816
96,0.7102401206980602,0.866
97,0.7152392318720417,0.8546
98,0.7120474448625619,0.8566
99,0.7002352020748166,0.8691
100,0.6901099653913422,0.8762
101,0.701040722666858,0.8651
102,0.6982667907186677,0.8704
103,0.6999073141625749,0.8657
104,0.7202475245826027,0.8519
105,0.6955095523187677,0.8695
106,0.686046463545709,0.8791
107,0.6989162011616801,0.8657
108,0.6922005510636522,0.8752
109,0.692462607978938,0.8694
110,0.6974890761870371,0.8651
111,0.696884348787001,0.8634
112,0.6829770249567371,0.8748
113,0.6973543317092655,0.8659
114,0.6836225610979778,0.8814
115,0.6912016211442927,0.8741
116,0.6734954627241967,0.8828
117,0.6812957253668848,0.8706
118,0.7097334628081924,0.8553
119,0.6787614693675644,0.882
120,0.693183733280399,0.8708
121,0.6760939331776801,0.8784
122,0.6895598243687332,0.8682
123,0.6885201446839494,0.87
124,0.6874944547446279,0.8732
125,0.684252778239684,0.8728
126,0.715262221621366,0.8455
127,0.6900419328294132,0.8695
128,0.6788090131148121,0.8785
129,0.6770880753638684,0.8755
130,0.6801867427466155,0.8751
131,0.674804328344656,0.8811
132,0.6868034566319109,0.8716
133,0.6757166480419061,0.8756
134,0.6769428963636659,0.8728
135,0.6926046051273751,0.8599
136,0.6654135225054707,0.8839
137,0.6866448049980403,0.8662
138,0.6805134814924624,0.8708
139,0.6761576939112504,0.8766
140,0.676783254638203,0.8721
141,0.670478633576614,0.8819
142,0.6676014140409201,0.8809
143,0.6804026560412527,0.8657
144,0.6639602250985746,0.8804
145,0.6678626006042827,0.878
146,0.674270481575027,0.8753
147,0.6762755418441088,0.8698
148,0.6660021217083225,0.8803
149,0.6587878490708265,0.8847
150,0.6675845750851227,0.877
151,0.6690726457927,0.8743
152,0.6637550812197361,0.8783
153,0.6699800579518606,0.8766
154,0.6697607257849949,0.8796
155,0.6649645614686186,0.8736
156,0.6605111051920006,0.8818
157,0.6642852407583927,0.8749
158,0.6583745916013012,0.882
159,0.6596112369020498,0.878
160,0.6564712692579969,0.8805
161,0.6723218391808196,0.8658
162,0.6606163853697888,0.877
163,0.6626532100293832,0.8773
164,0.6649105650040895,0.874
165,0.6582658317433382,0.8777
166,0.6666620335833152,0.8745
167,0.6479957655457081,0.8879
168,0.6539934947211292,0.8781
169,0.6574777616222811,0.8842
170,0.6580468780466799,0.8765
171,0.6471297510240721,0.8867
172,0.657434798574953,0.8794
173,0.6518717612558227,0.8826
174,0.6531789385454376,0.8841
175,0.6432136043303924,0.8878
176,0.6538752655488302,0.8789
177,0.6722822915282134,0.8692
178,0.6603196218021422,0.8757
