# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 0.01
participation_rate: 0.3
num_classes: 10
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,2.231383139018418,0.2552
2,1.959750191867117,0.3606
3,1.768739244814568,0.4066
4,1.7748010261634144,0.3196
5,1.4991124844299455,0.4906
6,1.5414961830291884,0.4691
7,1.3918647755565403,0.5668
8,1.4270298129310774,0.5134
9,1.33275879719541,0.5921
10,1.3500261726040002,0.5322
11,1.2470590335139056,0.6296
12,1.5476693842619982,0.4795
13,1.248140921361078,0.6048
14,1.2141806469382144,0.6298
15,1.348995588420317,0.5805
16,1.2727232311819878,0.5775
17,1.2020143480482453,0.6341
18,1.252466903731588,0.6036
19,1.3293692948920754,0.5315
20,1.2977275864774938,0.5604
21,1.2476814903202562,0.5869
22,1.2920309363175717,0.5424
23,1.1766499894363127,0.6355
24,1.222520445872549,0.613
25,1.210652085432998,0.6004
26,1.2159237405111252,0.6189
27,1.165938039248502,0.6961
28,1.1874946182513137,0.6228
29,1.2584974688989223,0.5663
30,1.209940747227314,0.6437
31,1.2396553417592118,0.5808
32,1.2427479486911357,0.5843
33,1.1818415621603562,0.6518
34,1.154584534219315,0.6832
35,1.2039789464417823,0.6246
36,1.1616747105082537,0.6899
37,1.1611576462308881,0.6683
38,1.175948751088206,0.6998
39,1.203095972743969,0.6587
40,1.1864057332293028,0.6528
41,1.237509322686059,0.6244
42,1.3477410641253373,0.5632
43,1.188313513353597,0.683
44,1.2155042308447896,0.6801
45,1.2986487654721977,0.5839
46,1.2250080190295407,0.6745
47,1.2471814863055393,0.6193
48,1.2547558479151721,0.6274
49,1.2656811548759028,0.6124
50,1.3164061038498787,0.6088
51,1.2975697566244158,0.63
52,1.2347550995959904,0.7052
53,1.2332593216324739,0.6764
54,1.2785665029499664,0.6383
55,1.2944360579045666,0.6127
56,1.2876290818920806,0.5985
57,1.2671377378695798,0.6656
58,1.2432236023421184,0.6616
59,1.2597401563153547,0.6673
60,1.289217349127701,0.666
61,1.2946449220884562,0.6175
62,1.2394609123608042,0.6912
63,1.294983583131194,0.6268
64,1.252573689822463,0.6795
65,1.2979089706527462,0.6337
66,1.2847544386552374,0.6769
67,1.2814387007817418,0.673
68,1.2893246336788304,0.6727
69,1.3127924423905313,0.6651
70,1.3281148228668307,0.6583
71,1.3826810085582106,0.6477
72,1.4106993714027105,0.6222
73,1.3211970029269366,0.6709
74,1.4228238173941083,0.629
75,1.3651209234186203,0.6408
76,1.3434131960105824,0.6975
77,1.3148242110794268,0.6957
78,1.3539289935885102,0.6671
79,1.3381035159888839,0.697
80,1.3956194544334852,0.671
81,1.3808412332070397,0.6762
82,1.3872325342635197,0.6493
83,1.385551132269635,0.6604
84,1.3839410016643103,0.7127
85,1.3474914273855116,0.6912
86,1.365979826709914,0.6943
87,1.3596713143256536,0.7117
88,1.3842073037361398,0.6968
89,1.444103999555901,0.6155
90,1.4155468455061604,0.6428
91,1.3564897111106755,0.7137
92,1.4819894752844471,0.6292
93,1.3597670854446755,0.6838
94,1.370333798338134,0.7122
95,1.4353749472856354,0.667
96,1.4230730511243228,0.6955
97,1.43167227577365,0.6701
98,1.3967014935742017,0.6878
99,1.4225162851228021,0.6709
100,1.4207223093570978,0.6892
