# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.1
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,2.586574344105596,0.1922
2,2.1276332909209166,0.4404
3,1.9181323377398152,0.5789
4,1.7428013740821477,0.6536
5,1.5854235775190133,0.6893
6,1.4558088569847392,0.7119
7,1.467524512777242,0.6637
8,1.2897862873517,0.7939
9,1.2384999940399073,0.7784
10,1.203830068886813,0.776
11,1.131219433946604,0.8269
12,1.1337283318437636,0.7909
13,1.0938299487815042,0.7927
14,1.1079358146006713,0.7731
15,1.0683735982764697,0.8024
16,1.0141080428042824,0.8179
17,1.019407756276095,0.8041
18,0.9611399933210437,0.8366
19,0.9471759595182894,0.847
20,0.9918504975356922,0.7856
21,0.9838992460374997,0.7963
22,0.9271545193196592,0.8304
23,0.8863575971305295,0.8609
24,0.8867132905991446,0.8502
25,0.8783469225693172,0.8636
26,0.898674920670348,0.8308
27,0.8800026840316453,0.8437
28,0.8635267454788585,0.8506
29,0.8629860098670764,0.8472
30,0.8655488005969816,0.849
31,0.8533971481222774,0.8464
32,0.8516441667069716,0.8493
33,0.8214507999163512,0.8603
34,0.8563844693854129,0.825
35,0.7975530547381448,0.8807
36,0.8561959814669217,0.8205
37,0.8138614119487227,0.852
38,0.8069454001728144,0.854
39,0.8087165122086234,0.8549
40,0.7902246671786751,0.8663
41,0.8077161565954075,0.8563
42,0.7798154593294204,0.8747
43,0.7982511902360522,0.8533
44,0.7937430042796906,0.8636
45,0.8265467794043455,0.8322
46,0.8075712843000531,0.842
47,0.8384509299545404,0.8177
48,0.7865629968018809,0.869
49,0.7997552370644245,0.8552
50,0.7874274080252774,0.8562
51,0.7744141436812094,0.8558
52,0.7930246763059643,0.8599
53,0.8351229282797918,0.7998
54,0.7701064844799688,0.8608
55,0.7653946410560413,0.8656
56,0.7591763270768005,0.8703
57,0.7723326797397242,0.8606
58,0.8277367152816102,0.8209
59,0.823465271405824,0.8221
60,0.7699361834396351,0.8534
61,0.7491168188216252,0.8814
62,0.7496765988070948,0.8817
63,0.7642319640253197,0.8659
64,0.7986151442499333,0.8324
65,0.7833821113501732,0.8419
66,0.7891229962220352,0.8369
67,0.750127826699029,0.8657
68,0.7541793011984336,0.8652
69,0.7960633951513213,0.8386
70,0.7815768909809656,0.8322
71,0.7932246410082942,0.8249
72,0.7581043797789698,0.857
73,0.78744786313978,0.8391
74,0.7802315473462392,0.8464
75,0.7762775418886347,0.8427
76,0.7909032491280896,0.8421
77,0.7796773390718545,0.8482
78,0.7730344554711797,0.8591
79,0.7761557225566998,0.8674
80,0.7708779192554197,0.8581
81,0.7346909345575989,0.8799
82,0.7600403374357747,0.8576
83,0.7680418369296175,0.8435
84,0.7915417300168026,0.8359
85,0.7688940139678975,0.8495
86,0.7315367461101849,0.8802
87,0.7888447066925148,0.8092
88,0.7390502959089584,0.8771
89,0.7561962521634955,0.8626
90,0.7680493345882698,0.864
91,0.7367576002095163,0.8744
92,0.7537299906251248,0.8621
93,0.7493868834240003,0.8584
94,0.7644522063906982,0.8396
95,0.7363185044034954,0.8712
96,0.7580201295462653,0.8529
97,0.7391550331145192,0.8672
98,0.7434591187694048,0.872
99,0.7756583467787435,0.8264
100,0.8067934504141099,0.8084
