# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
mu: 0.0001
num_classes: 10
# Results:

round,obj,test
1,2.5905705388907085,0.2293
2,2.453746309519134,0.3521
3,2.3139607632117642,0.4685
4,2.176495064515044,0.5517
5,2.042123709480272,0.6083
6,1.9176575184428213,0.6447
7,1.8048504823148988,0.6784
8,1.7026752097240212,0.7097
9,1.6101064053002252,0.7394
10,1.530420273901002,0.7606
11,1.4618511841550652,0.78
12,1.4025441311335844,0.7967
13,1.351766370415565,0.8069
14,1.307780097527739,0.8148
15,1.2694992016412958,0.8219
16,1.2358618899018559,0.8278
17,1.2062833048025314,0.8319
18,1.1797023457732383,0.8345
19,1.1559461834218547,0.8388
20,1.1346595009174292,0.8418
21,1.1150243708215501,0.8444
22,1.0974769657294792,0.8467
23,1.0814210926677523,0.8503
24,1.0666221452639595,0.8526
25,1.0531095742116263,0.856
26,1.040506382899995,0.8578
27,1.0288918867859542,0.8602
28,1.018060864263654,0.8616
29,1.0081401480911925,0.8639
30,0.9987842654105993,0.8655
31,0.989960248406749,0.8671
32,0.9815811368654461,0.8677
33,0.9736491941919352,0.8702
34,0.9661612159885612,0.871
35,0.9591843051651259,0.8722
36,0.9524441099737563,0.8741
37,0.9458046142172558,0.8747
38,0.9397773952543175,0.8754
39,0.933961268907118,0.8758
40,0.9283852533890127,0.8764
41,0.9230236356604793,0.8771
42,0.9178226400645817,0.8783
43,0.9130453954631174,0.8794
44,0.9082996108665322,0.879
45,0.9037579239537558,0.8795
46,0.8994605295837054,0.8814
47,0.8950906593464221,0.881
48,0.8910212498779957,0.882
49,0.8871382832783401,0.8835
50,0.8832823498635215,0.8839
51,0.879623213248136,0.8847
52,0.8760953978655671,0.8853
53,0.8726215885394516,0.8852
54,0.8693654807453797,0.8864
55,0.8660072985703812,0.8863
56,0.8628146424405067,0.8868
57,0.859695291094676,0.8875
58,0.8566725972273292,0.8878
59,0.8537497652376032,0.8875
60,0.8508715803843333,0.889
61,0.8480663409574158,0.8888
62,0.8453798601276721,0.8892
63,0.8426374416639988,0.8907
64,0.8400206813281373,0.8915
65,0.8374239765234361,0.8915
66,0.8349705653365418,0.892
67,0.8324956762703152,0.8925
68,0.8301022940537366,0.8933
69,0.8277139077714538,0.8925
70,0.8253650767446139,0.8932
71,0.8230375279895967,0.8934
72,0.8208581576148004,0.894
73,0.8185934617001474,0.894
74,0.81646771272007,0.8942
75,0.814374764694675,0.8948
76,0.8123248998830817,0.8946
77,0.8103238971692681,0.8953
78,0.8082591558163471,0.8954
79,0.8061948492246918,0.8956
80,0.804185313816485,0.8961
81,0.8022662220332378,0.8965
82,0.800316720678096,0.8965
83,0.798421754094694,0.8973
84,0.7965980977668927,0.897
85,0.7947168050078242,0.8977
86,0.7930114286393988,0.8971
87,0.7910829400755371,0.898
88,0.7893218044576964,0.8987
89,0.7875550950048249,0.8991
90,0.7858872248483019,0.8991
91,0.7842087065920096,0.8988
92,0.782566253965435,0.8999
93,0.7809099013317139,0.8997
94,0.7791984485709538,0.8998
95,0.7776599211144072,0.8998
96,0.7760747544448122,0.9005
97,0.7745299465508091,0.9009
98,0.7729260626313085,0.9012
99,0.7714114283274269,0.9011
100,0.7699249733180641,0.9013
