# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
mu: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.9008330797728326,0.6695
2,1.64538092324258,0.6567
3,1.4770341848560475,0.6486
4,1.3301251699603995,0.6599
5,1.2610603602344173,0.6534
6,1.1441148895330953,0.7405
7,1.0714267150167303,0.7392
8,1.053551138473336,0.7302
9,1.011902170035938,0.7456
10,0.9275207934607225,0.8232
11,0.9071485221212603,0.8191
12,0.8652891513137843,0.8209
13,0.8441244551401261,0.8395
14,0.8307499897747107,0.8339
15,0.8069707607855355,0.855
16,0.8358535526356321,0.8065
17,0.8151544983854132,0.8108
18,0.7897605536932012,0.838
19,0.7902071107678179,0.8457
20,0.7684039945967513,0.8596
21,0.7818761906908606,0.8441
22,0.8322557218629454,0.8072
23,0.7763059332302785,0.8413
24,0.7515561159738335,0.852
25,0.7648180372985859,0.8458
26,0.7460724852233355,0.8576
27,0.7452161273244231,0.8499
28,0.751261939115989,0.8387
29,0.7635906911604005,0.8354
30,0.7406684292798562,0.8551
31,0.7501526061558884,0.8378
32,0.7126670019110581,0.8707
33,0.7399241477108658,0.8483
34,0.738621956335196,0.8456
35,0.7226675840987853,0.8661
36,0.7172708648803212,0.8659
37,0.7068653102726334,0.8729
38,0.7430948552575039,0.8332
39,0.6986712520355748,0.8743
40,0.7066259185422898,0.87
41,0.7841238231297273,0.8128
42,0.7587649504296454,0.8283
43,0.7438464008668539,0.8426
44,0.7158234654990194,0.8621
45,0.7202493621725902,0.8603
46,0.7311525847781866,0.8495
47,0.7087934169082145,0.8606
48,0.7117883745484755,0.8535
49,0.6892520478347355,0.8817
50,0.720680952598724,0.8594
51,0.7285650431473798,0.8442
52,0.7146103058464507,0.8572
53,0.7130263546349787,0.855
54,0.7416857131064744,0.8303
55,0.7051879969242686,0.8625
56,0.7077093603371081,0.8667
57,0.708235890755159,0.8645
58,0.7008298548204384,0.8727
59,0.706941677854877,0.8664
60,0.7231197217715657,0.8542
61,0.6904590849399935,0.873
62,0.7403972898076739,0.8313
63,0.7427268007288602,0.8239
64,0.7308628920598823,0.8455
65,0.7167273439010632,0.8628
66,0.7506501541481971,0.8155
67,0.7271408839710953,0.8347
68,0.6856554464464144,0.8867
69,0.7048286481773677,0.8799
70,0.6932960974553027,0.8738
71,0.70943963820729,0.8566
72,0.701063970763581,0.8656
73,0.7411135110530157,0.8351
74,0.7311100503536602,0.8462
75,0.7316636892940113,0.8494
76,0.7291880004748824,0.8394
77,0.7415826292118627,0.8372
78,0.7321355788430001,0.8436
79,0.7108490608418823,0.861
80,0.7135896473228154,0.8587
81,0.6925792682094358,0.8782
82,0.7251356762316606,0.8401
83,0.732073876752471,0.8377
84,0.7228232840526945,0.8462
85,0.6844374154442819,0.8779
86,0.7078147142382871,0.8553
87,0.6956628690706481,0.8625
88,0.692859056246095,0.8795
89,0.693934303343098,0.8756
90,0.7082449796094672,0.8677
91,0.6940739194511284,0.8775
92,0.694519547054551,0.8715
93,0.69521709824799,0.8722
94,0.6957449025037211,0.865
95,0.7151973100167615,0.8552
96,0.6935436255994937,0.8807
97,0.7393396758899679,0.8334
98,0.7253183197151286,0.854
99,0.6887315912371046,0.8817
100,0.7375525333974645,0.8337
