# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,2.582834665250537,0.1861
2,2.447083927228151,0.3113
3,2.312478111252176,0.4427
4,2.197274540856002,0.5253
5,2.0649858270437718,0.6055
6,1.9675189903743404,0.6519
7,1.856965668192047,0.696
8,1.7623677622391494,0.7246
9,1.6743088269655295,0.7496
10,1.5960186001156949,0.7655
11,1.5229707609046035,0.7783
12,1.458902736488537,0.7884
13,1.4074793853422585,0.797
14,1.3584631285638071,0.804
15,1.3142241140772029,0.81
16,1.2775900895692969,0.8153
17,1.24397459951635,0.8192
18,1.2133098707388243,0.825
19,1.186830123362203,0.8295
20,1.1624757619322241,0.8331
21,1.1407938914830407,0.836
22,1.1218400305797207,0.8387
23,1.1034857531386326,0.8415
24,1.0875000124271028,0.8451
25,1.0723907677448186,0.8477
26,1.0592836769523497,0.8498
27,1.0468165556206048,0.8517
28,1.0353266315997556,0.8535
29,1.0238015081993221,0.8563
30,1.0133963512015802,0.8579
31,1.0038740927951122,0.8608
32,0.9946514008838259,0.8624
33,0.9862446886371173,0.8647
34,0.9784943805287206,0.8665
35,0.9706928789103647,0.8674
36,0.9636868720143273,0.8683
37,0.9568466923011298,0.8696
38,0.9506230611405877,0.8711
39,0.9444125761245302,0.8727
40,0.9386537544089353,0.8731
41,0.933014617651362,0.874
42,0.9276911845620051,0.8748
43,0.9225778120321418,0.8753
44,0.9176725197586759,0.877
45,0.9130526585279377,0.8776
46,0.9085253519525706,0.8783
47,0.9040785911251944,0.8788
48,0.8997517049613704,0.8798
49,0.8956248880103154,0.8809
50,0.8916014858974137,0.8809
51,0.8877736767205312,0.882
52,0.8840023267094983,0.8831
53,0.8803602948393193,0.8837
54,0.87680232347519,0.8849
55,0.8734267268448124,0.8853
56,0.8700938385437396,0.886
57,0.8668247411320532,0.8864
58,0.8636781707294676,0.8863
59,0.860583897984662,0.8864
60,0.8575402835711727,0.8873
61,0.8545779255253282,0.8873
62,0.851671396713792,0.8877
63,0.8488437596803172,0.8884
64,0.8460655360057666,0.8884
65,0.8434596884027099,0.8888
66,0.8408465146202568,0.8893
67,0.8382890438055014,0.8899
68,0.8358097426207985,0.8902
69,0.833349075549254,0.8908
70,0.8309126598830983,0.8912
71,0.828517312094341,0.8915
72,0.8261828955515417,0.8924
73,0.8238979580395255,0.8929
74,0.8216391215595662,0.8935
75,0.8194035017237755,0.8939
76,0.8172217662843708,0.8939
77,0.8150845913201048,0.8939
78,0.8129829499712855,0.894
79,0.81089509597575,0.8942
80,0.8088569232471672,0.8942
81,0.8068562964979844,0.8949
82,0.8048852634572349,0.895
83,0.8029421660494028,0.8951
84,0.801044024447317,0.8955
85,0.7991636124135095,0.8957
86,0.7972926226669798,0.8959
87,0.7954495931731034,0.8963
88,0.7936365863321989,0.8964
89,0.7918410492212619,0.897
90,0.7900728813031892,0.8971
91,0.7883294317186689,0.8977
92,0.786600957550921,0.8975
93,0.784895606162056,0.8975
94,0.7832203424637117,0.8978
95,0.7815582108918805,0.8981
96,0.7799157486658046,0.8982
97,0.7782907537755818,0.8981
98,0.7766793543521554,0.898
99,0.7750876406724309,0.8983
100,0.7735108821541083,0.8981
