# Configuration:

dataset name: mnist
model name: softmax classification with MLP
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.01
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,2.672316093238508,0.1332
2,2.5052185158198026,0.1984
3,2.3579958392204925,0.3643
4,2.191733207659706,0.5195
5,2.060117547182717,0.6192
6,1.913414952617561,0.6821
7,1.7985059732733966,0.7034
8,1.6953145209375713,0.7356
9,1.608009596999603,0.755
10,1.5317980112768228,0.7718
11,1.4625587446881345,0.7875
12,1.4065092796967642,0.7942
13,1.3528983802104748,0.8024
14,1.3089785781170393,0.8144
15,1.2680956046819136,0.8203
16,1.232628619150341,0.8262
17,1.1999621493156747,0.831
18,1.1718421281449785,0.8359
19,1.145948740601409,0.8404
20,1.1233898542415812,0.8451
21,1.1023990056306892,0.8487
22,1.0844989535274647,0.8517
23,1.0679346779285002,0.8534
24,1.0517352916585025,0.8575
25,1.037762525156289,0.8605
26,1.0247810063934326,0.8623
27,1.0133778766373034,0.8636
28,1.0029585409639639,0.8658
29,0.992833648655837,0.8678
30,0.9835838205055306,0.8698
31,0.9745616989946343,0.8709
32,0.9665773082840772,0.8715
33,0.9587168513061815,0.8731
34,0.9513691384887761,0.8752
35,0.9442934896132595,0.8762
36,0.9383601742931519,0.8778
37,0.9326422032743309,0.8785
38,0.9266665575500985,0.8797
39,0.9210512139443344,0.8803
40,0.9159544727620378,0.881
41,0.9109941956187108,0.8816
42,0.9061456497081087,0.8821
43,0.9015631089288131,0.8833
44,0.8972101611385465,0.8832
45,0.8929104017440348,0.8845
46,0.8887627119606653,0.8856
47,0.8848938491269304,0.8859
48,0.881134037901385,0.8874
49,0.8773789445145617,0.8878
50,0.8738458776399997,0.8881
51,0.8704871974063682,0.8891
52,0.8672204150792823,0.8894
53,0.8640992433076575,0.8901
54,0.8610605359205851,0.8904
55,0.8580150227724916,0.8907
56,0.8550394305833637,0.891
57,0.8521230795824906,0.8918
58,0.8493110680755722,0.8925
59,0.8466648396866018,0.8925
60,0.8439289440705074,0.893
61,0.8412329413664172,0.8933
62,0.8385705630530437,0.8939
63,0.8360727453182568,0.8936
64,0.8336595028793329,0.8938
65,0.8312573418453565,0.8948
66,0.8289211464627265,0.8952
67,0.8266062070177651,0.8958
68,0.8243606609369173,0.8955
69,0.8221408099066831,0.8954
70,0.8199423124085573,0.8959
71,0.817768247241815,0.8966
72,0.8156407576070669,0.897
73,0.8135348419081219,0.8972
74,0.8114919522282201,0.8977
75,0.8095400374608848,0.898
76,0.8076600205029489,0.8981
77,0.8057187967133553,0.8983
78,0.8038433499843225,0.8983
79,0.8019768859005992,0.8985
80,0.800033745949731,0.8988
81,0.7981982994284303,0.8991
82,0.7964139295447817,0.8992
83,0.7946007671499263,0.8992
84,0.7929083031696292,0.8996
85,0.7911448438389284,0.9
86,0.7893958622692981,0.9001
87,0.7877125254059454,0.9002
88,0.7860418357603148,0.9003
89,0.7843743332053427,0.9004
90,0.7827320074528621,0.9007
91,0.7810460709082622,0.9009
92,0.7794493257296878,0.9011
93,0.7778717420892728,0.9019
94,0.7762660499123244,0.9021
95,0.7747207067818372,0.9021
96,0.7732050675687301,0.9023
97,0.771634378938218,0.903
98,0.7701217942865404,0.9031
99,0.768673346674809,0.9029
100,0.7671812422020712,0.9032
