# Configuration:

dataset name: rcv1
model name: softmax classification
num_clients: 100
learning_rate: 1.0
participation_rate: 0.3
num_classes: 10
numLocalEpochs: 5
learning_rate: 0.001
lambda: 0.01
num_classes: 10
# Results:

round,obj,test
1,1.9554716481094951,0.4836
2,1.67969188518429,0.4902
3,1.4637772602745036,0.6609
4,1.2980229594978148,0.7496
5,1.220119125998328,0.6638
6,1.1016711987064007,0.776
7,1.1217881411077784,0.7045
8,1.0629231805889012,0.7334
9,1.0299680352742508,0.7376
10,0.9767431503770996,0.7777
11,0.9621284591839665,0.7728
12,0.8975037543090224,0.8103
13,0.8928518358117091,0.8056
14,0.8197765614692077,0.8448
15,0.8167922581002123,0.8319
16,0.8195116338335846,0.8211
17,0.8009302827624479,0.8395
18,0.8059020104124544,0.8262
19,0.8036547766230281,0.8272
20,0.7823521862031535,0.8434
21,0.7902280588738613,0.8316
22,0.7931821367754752,0.8167
23,0.7862233372744284,0.8253
24,0.7966294050363695,0.8161
25,0.7719085405300207,0.8212
26,0.7413492177292748,0.8648
27,0.785233600163826,0.8218
28,0.7472802353879596,0.8515
29,0.7471250092912434,0.8524
30,0.7543809455676641,0.8392
31,0.7266143975601465,0.8643
32,0.7436110024268093,0.8463
33,0.7223232711123425,0.8602
34,0.7488454045994272,0.8394
35,0.7306304934969597,0.8539
36,0.7454964345325736,0.841
37,0.7190444969107229,0.8626
38,0.728976425716973,0.8539
39,0.7340627697103097,0.8441
40,0.71904582297573,0.8703
41,0.7053468038429752,0.8682
42,0.7099159260681591,0.8684
43,0.6952751630352515,0.8801
44,0.7341763225671535,0.844
45,0.6996204432477847,0.877
46,0.7097050815828582,0.8733
47,0.7436125000257476,0.8361
48,0.7264234382840978,0.8529
49,0.7090182123513589,0.8707
50,0.741495491696102,0.8322
51,0.7766022842582715,0.8155
52,0.7259036741307362,0.8539
53,0.7194155795993993,0.8593
54,0.7274617806191306,0.845
55,0.7353908432464172,0.8473
56,0.7227846396637355,0.8544
57,0.7426085525558666,0.8341
58,0.7527400778796082,0.8266
59,0.7221700907721389,0.8601
60,0.692501727716577,0.8781
61,0.719648673462624,0.8625
62,0.6906837683137865,0.8801
63,0.7126011866292051,0.8632
64,0.6951425492607836,0.8765
65,0.7155402864021672,0.8561
66,0.7114877609940476,0.8605
67,0.698774957852412,0.8751
68,0.7013615900312198,0.8777
69,0.7083015272638001,0.8739
70,0.7089733460723722,0.8685
71,0.7071088487203719,0.8684
72,0.7011338218384081,0.8662
73,0.7060889895624805,0.8625
74,0.7667760162132327,0.821
75,0.7341709964093479,0.8411
76,0.7252852605952498,0.841
77,0.6935652286618398,0.8744
78,0.6905129136659577,0.8847
79,0.719288609018248,0.849
80,0.7259433153124054,0.8436
81,0.7238318713240208,0.85
82,0.7005235893403856,0.876
83,0.6932437536173363,0.8789
84,0.6989717477544772,0.8722
85,0.69800740899464,0.8695
86,0.7232722285886506,0.8474
87,0.7197363663112786,0.8576
88,0.7345554538221648,0.8426
89,0.7234799485490621,0.848
90,0.6903292201309927,0.8813
91,0.6934251986723243,0.8766
92,0.7135938142125384,0.8647
93,0.741179468485323,0.8458
94,0.7186831543232381,0.8586
95,0.7366659473339966,0.8459
96,0.744997715531387,0.8401
97,0.7265840512018968,0.8435
98,0.7086277753300063,0.8589
99,0.7456647220428881,0.833
100,0.7219414800392822,0.8545
